t,truck_id,shovel_id,event,payload_t
432.0,1,1,load,0
432.0,2,2,load,0
432.0,3,3,load,0
432.0,4,4,load,0
432.0,5,5,load,0
2485.3,1,1,haul,77.0
2485.3,2,2,haul,77.0
2485.3,3,3,haul,77.0
2485.3,4,4,haul,77.0
2485.3,5,5,haul,77.0
2485.3,6,1,load,0
2485.3,7,2,load,0
2485.3,8,3,load,0
2485.3,9,4,load,0
2485.3,10,5,load,0
3418.7,10,5,haul,35.0
3418.7,11,5,load,0
4024.3,2,101,dump,77.0
4050.3,1,101,dump,77.0
4084.3,2,101,return,0
4110.3,1,101,return,0
4129.3,5,101,dump,77.0
4189.3,5,101,return,0
4271.0,4,101,dump,77.0
4331.0,4,101,return,0
4352.0,11,5,haul,35.0
4352.0,12,5,load,0
4538.7,6,1,haul,77.0
4538.7,7,2,haul,77.0
4538.7,8,3,haul,77.0
4538.7,9,4,haul,77.0
4538.7,13,1,load,0
4538.7,14,2,load,0
4538.7,15,3,load,0
4538.7,16,4,load,0
4551.4,3,101,dump,77.0
4611.4,3,101,return,0
5191.8,10,101,dump,35.0
5251.8,10,101,return,0
5285.3,12,5,haul,35.0
5285.3,17,5,load,0
5472.0,13,1,haul,35.0
5472.0,14,2,haul,35.0
5472.0,15,3,haul,35.0
5472.0,16,4,haul,35.0
5472.0,18,1,load,0
5472.0,19,2,load,0
5472.0,20,3,load,0
5472.0,21,4,load,0
5848.1,11,101,dump,35.0
5908.1,11,101,return,0
5971.9,8,101,dump,77.0
6027.4,9,101,dump,77.0
6031.9,8,101,return,0
6087.4,9,101,return,0
6218.7,17,5,haul,35.0
6218.7,22,5,load,0
6273.6,7,101,dump,77.0
6333.6,7,101,return,0
6405.3,18,1,haul,35.0
6405.3,19,2,haul,35.0
6405.3,20,3,haul,35.0
6405.3,21,4,haul,35.0
6405.3,23,1,load,0
6405.3,24,3,load,0
6405.3,25,4,load,0
6590.4,6,101,dump,77.0
6650.4,6,101,return,0
6664.7,15,101,dump,35.0
6724.7,15,101,return,0
7022.3,16,101,dump,35.0
7077.8,12,101,dump,35.0
7082.3,16,101,return,0
7086.4,13,101,dump,35.0
7137.8,12,101,return,0
7146.4,13,101,return,0
7152.0,22,5,haul,35.0
7152.0,26,5,load,0
7259.1,14,101,dump,35.0
7319.1,14,101,return,0
7338.7,23,1,haul,35.0
7338.7,24,3,haul,35.0
7338.7,25,4,haul,35.0
7338.7,27,1,load,0
7338.7,28,3,load,0
7338.7,29,4,load,0
7440.1,18,101,dump,35.0
7466.7,21,101,dump,35.0
7500.1,18,101,return,0
7526.7,21,101,return,0
7592.5,17,101,dump,35.0
7652.5,17,101,return,0
7753.0,20,101,dump,35.0
7813.0,20,101,return,0
8085.3,26,5,haul,35.0
8085.3,30,5,load,0
8272.0,27,1,haul,35.0
8272.0,28,3,haul,35.0
8272.0,29,4,haul,35.0
8272.0,31,1,load,0
8272.0,32,3,load,0
8272.0,33,4,load,0
8549.1,23,101,dump,35.0
8584.0,22,101,dump,35.0
8609.1,23,101,return,0
8644.0,22,101,return,0
8773.9,25,101,dump,35.0
8827.4,24,101,dump,35.0
8833.9,25,101,return,0
8887.4,24,101,return,0
9205.3,31,1,haul,35.0
9205.3,32,3,haul,35.0
9205.3,33,4,haul,35.0
9205.3,34,1,load,0
9205.3,35,4,load,0
9376.6,36,2,load,0
9552.0,30,5,haul,55.0
9552.0,37,5,load,0
9755.4,26,101,dump,35.0
9815.4,26,101,return,0
9945.9,28,101,dump,35.0
10005.9,28,101,return,0
10100.1,29,101,dump,35.0
10116.6,27,101,dump,35.0
10138.7,34,1,haul,35.0
10138.7,38,1,load,0
10160.1,29,101,return,0
10176.6,27,101,return,0
10309.9,36,2,haul,35.0
10309.9,39,2,load,0
10672.0,35,4,haul,55.0
10672.0,40,4,load,0
10721.0,31,101,dump,35.0
10781.0,31,101,return,0
10809.7,33,101,dump,35.0
10869.7,33,101,return,0
11018.7,37,5,haul,55.0
11018.7,41,5,load,0
11033.0,19,101,dump,35.0
11093.0,19,101,return,0
11243.2,39,2,haul,35.0
11243.2,42,2,load,0
11299.1,30,101,dump,55.0
11359.1,30,101,return,0
11528.1,34,101,dump,35.0
11588.1,34,101,return,0
11605.3,38,1,haul,55.0
11605.3,43,1,load,0
11959.7,44,3,load,0
12138.7,40,4,haul,55.0
12138.7,45,4,load,0
12176.6,42,2,haul,35.0
12176.6,46,2,load,0
12485.3,41,5,haul,55.0
12521.9,35,101,dump,55.0
12526.6,36,101,dump,35.0
12581.9,35,101,return,0
12586.6,36,101,return,0
12798.8,39,101,dump,35.0
12822.0,37,101,dump,55.0
12858.8,39,101,return,0
12882.0,37,101,return,0
12893.1,44,3,haul,35.0
12893.1,47,3,load,0
13072.0,43,1,haul,55.0
13072.0,48,1,load,0
13109.9,46,2,haul,35.0
13109.9,49,2,load,0
13180.2,38,101,dump,55.0
13240.2,38,101,return,0
13492.4,40,101,dump,55.0
13552.4,40,101,return,0
13605.3,45,4,haul,55.0
13605.3,50,4,load,0
13694.8,42,101,dump,35.0
13754.7,32,101,dump,35.0
13754.8,42,101,return,0
13814.7,32,101,return,0
14342.1,44,101,dump,35.0
14359.7,47,3,haul,55.0
14359.7,51,3,load,0
