t,truck_id,shovel_id,event,payload_t
302.4,1,1,load,0
302.4,2,2,load,0
643.4,1,1,haul,77.0
643.4,2,2,haul,77.0
643.4,3,1,load,0
643.4,4,2,load,0
984.5,3,1,haul,77.0
984.5,4,2,haul,77.0
984.5,5,1,load,0
984.5,6,2,load,0
1325.5,5,1,haul,77.0
1325.5,6,2,haul,77.0
1325.5,7,1,load,0
1325.5,8,2,load,0
1385.0,2,101,dump,77.0
1445.0,2,101,return,0
1666.6,7,1,haul,77.0
1666.6,8,2,haul,77.0
1666.6,9,1,load,0
1666.6,10,2,load,0
1726.1,3,101,dump,77.0
1786.1,3,101,return,0
1821.6,10,2,haul,35.0
1821.6,11,2,load,0
1976.6,11,2,haul,35.0
1976.6,12,2,load,0
2007.6,9,1,haul,77.0
2007.6,13,1,load,0
2054.8,2,3,load,0
2067.1,5,101,dump,77.0
2067.1,6,101,dump,77.0
2127.1,5,101,return,0
2127.1,6,101,return,0
2131.6,12,2,haul,35.0
2131.6,14,2,load,0
2162.6,13,1,haul,35.0
2162.6,15,1,load,0
2286.7,14,2,haul,35.0
2317.7,15,1,haul,35.0
2317.7,16,1,load,0
2353.7,3,4,load,0
2395.9,2,3,haul,77.0
2472.7,16,1,haul,35.0
2472.7,17,1,load,0
2627.7,17,1,haul,35.0
2627.7,18,1,load,0
2651.5,1,101,dump,77.0
2651.5,4,101,dump,77.0
2651.5,7,101,dump,77.0
2651.5,10,101,dump,35.0
2711.5,1,101,return,0
2711.5,4,101,return,0
2711.5,7,101,return,0
2711.5,10,101,return,0
2782.7,18,1,haul,35.0
2782.7,19,1,load,0
2937.7,19,1,haul,35.0
2937.7,20,1,load,0
3092.8,20,1,haul,35.0
3092.8,21,1,load,0
3212.2,8,101,dump,77.0
3232.4,6,3,load,0
3247.8,21,1,haul,35.0
3247.8,22,1,load,0
3272.2,8,101,return,0
3314.9,11,101,dump,35.0
3348.5,2,102,dump,77.0
3365.2,5,5,load,0
3372.8,15,101,dump,35.0
3374.9,11,101,return,0
3402.8,22,1,haul,35.0
3402.8,23,1,load,0
3408.5,2,102,return,0
3432.8,15,101,return,0
3557.8,23,1,haul,35.0
3557.8,24,1,load,0
3573.4,6,3,haul,77.0
3694.1,13,101,dump,35.0
3712.8,24,1,haul,35.0
3712.8,25,1,load,0
3716.2,7,3,load,0
3754.1,13,101,return,0
3762.2,16,101,dump,35.0
3822.2,16,101,return,0
3867.9,25,1,haul,35.0
3867.9,26,1,load,0
3999.4,9,101,dump,77.0
4022.9,26,1,haul,35.0
4022.9,27,1,load,0
4057.3,7,3,haul,77.0
4057.3,11,3,load,0
4059.4,9,101,return,0
4124.5,12,101,dump,35.0
4177.5,2,6,load,0
4177.9,27,1,haul,35.0
4177.9,28,1,load,0
4184.5,12,101,return,0
4212.3,11,3,haul,35.0
4407.0,1,4,load,0
4407.0,3,4,haul,77.0
4421.5,28,1,haul,55.0
4421.5,29,1,load,0
4480.6,19,101,dump,35.0
4518.5,2,6,haul,77.0
4540.6,19,101,return,0
4590.5,17,101,dump,35.0
4640.6,30,2,load,0
4645.1,6,102,dump,77.0
4650.5,17,101,return,0
4665.1,29,1,haul,55.0
4665.1,31,1,load,0
4705.1,6,102,return,0
4739.5,20,101,dump,35.0
4795.7,30,2,haul,35.0
4795.7,32,2,load,0
4799.5,20,101,return,0
4826.4,18,101,dump,35.0
4886.4,18,101,return,0
4908.7,31,1,haul,55.0
4908.7,33,1,load,0
4918.0,21,101,dump,35.0
4950.7,32,2,haul,35.0
4950.7,34,2,load,0
4978.0,21,101,return,0
5002.9,23,101,dump,35.0
5062.9,23,101,return,0
5105.7,34,2,haul,35.0
5105.7,35,2,load,0
5152.3,33,1,haul,55.0
5152.3,36,1,load,0
5169.1,22,101,dump,35.0
5201.0,24,101,dump,35.0
5212.4,7,102,dump,77.0
5229.1,22,101,return,0
5260.7,35,2,haul,35.0
5260.7,37,2,load,0
5261.0,24,101,return,0
5272.4,7,102,return,0
5395.9,36,1,haul,55.0
5395.9,38,1,load,0
5415.7,37,2,haul,35.0
5415.7,39,2,load,0
5418.5,5,5,haul,77.0
5418.5,8,5,load,0
5521.1,2,103,dump,77.0
5570.7,39,2,haul,35.0
5570.7,40,2,load,0
5581.1,2,103,return,0
5621.4,25,101,dump,35.0
5621.7,3,102,dump,77.0
5639.5,38,1,haul,55.0
5639.5,41,1,load,0
5681.4,25,101,return,0
5681.7,3,102,return,0
5725.8,40,2,haul,35.0
5725.8,42,2,load,0
5837.6,6,6,load,0
5880.8,42,2,haul,35.0
5880.8,43,2,load,0
5883.1,41,1,haul,55.0
5883.1,44,1,load,0
6000.7,26,101,dump,35.0
6006.8,27,101,dump,35.0
6035.8,43,2,haul,35.0
6035.8,45,2,load,0
6060.7,26,101,return,0
6066.8,27,101,return,0
6099.2,14,101,dump,35.0
6126.7,44,1,haul,55.0
6126.7,46,1,load,0
6159.2,14,101,return,0
6176.2,28,101,dump,55.0
6178.0,5,102,dump,77.0
6178.6,6,6,haul,77.0
6190.8,45,2,haul,35.0
6190.8,47,2,load,0
6236.2,28,101,return,0
6238.0,5,102,return,0
6266.6,30,101,dump,35.0
6290.9,29,101,dump,55.0
6326.6,30,101,return,0
6345.8,47,2,haul,35.0
6350.9,29,101,return,0
6370.3,46,1,haul,55.0
6370.3,48,1,load,0
6460.4,1,4,haul,77.0
6460.4,10,4,load,0
6475.6,34,101,dump,35.0
6535.6,34,101,return,0
6589.5,4,3,load,0
6600.8,31,101,dump,55.0
6613.9,48,1,haul,55.0
6613.9,49,1,load,0
6660.8,31,101,return,0
6672.4,3,6,load,0
6675.7,33,101,dump,55.0
6715.7,32,101,dump,35.0
6735.7,33,101,return,0
6775.7,32,101,return,0
6828.9,6,103,dump,77.0
6857.5,49,1,haul,55.0
6857.5,50,1,load,0
6888.9,6,103,return,0
6917.5,35,101,dump,35.0
6930.6,4,3,haul,77.0
6930.6,15,3,load,0
6947.4,36,101,dump,55.0
6977.5,35,101,return,0
7007.4,36,101,return,0
7013.4,3,6,haul,77.0
7059.5,39,101,dump,35.0
7085.6,15,3,haul,35.0
7085.6,20,3,load,0
7101.1,50,1,haul,55.0
7101.1,51,1,load,0
7119.5,39,101,return,0
7151.3,43,101,dump,35.0
7211.3,43,101,return,0
7240.6,19,3,load,0
7240.6,20,3,haul,35.0
7261.5,37,101,dump,35.0
7321.5,37,101,return,0
7344.7,51,1,haul,55.0
7344.7,52,1,load,0
7376.4,7,6,load,0
7393.7,9,4,load,0
7393.7,10,4,haul,35.0
7395.6,19,3,haul,35.0
7395.6,23,3,load,0
7412.6,38,101,dump,55.0
7471.8,8,5,haul,77.0
7471.8,16,5,load,0
7472.6,38,101,return,0
7550.6,23,3,haul,35.0
7550.6,25,3,load,0
7571.7,45,101,dump,35.0
7588.3,52,1,haul,55.0
7588.3,53,1,load,0
7631.7,45,101,return,0
7658.3,11,102,dump,35.0
7660.2,42,101,dump,35.0
7681.2,40,101,dump,35.0
7705.7,14,3,load,0
7705.7,25,3,haul,35.0
7717.5,7,6,haul,77.0
7718.3,11,102,return,0
7720.2,42,101,return,0
7741.2,40,101,return,0
7755.5,1,102,dump,77.0
7771.8,41,101,dump,55.0
7815.5,1,102,return,0
7831.8,41,101,return,0
7831.9,53,1,haul,55.0
7831.9,54,1,load,0
7841.4,4,102,dump,77.0
7860.7,14,3,haul,35.0
7860.7,26,3,load,0
7901.4,4,102,return,0
7909.3,3,103,dump,77.0
7912.4,44,101,dump,55.0
7912.4,46,101,dump,55.0
7912.4,48,101,dump,55.0
7969.3,3,103,return,0
7972.4,44,101,return,0
7972.4,46,101,return,0
7972.4,48,101,return,0
7973.6,49,101,dump,55.0
8015.7,26,3,haul,35.0
8015.7,33,3,load,0
8033.6,49,101,return,0
8039.2,5,6,load,0
8058.3,20,102,dump,35.0
8075.5,54,1,haul,55.0
8075.5,55,1,load,0
8080.0,10,102,dump,35.0
8118.3,20,102,return,0
8140.0,10,102,return,0
8259.3,27,3,load,0
8259.3,33,3,haul,55.0
8319.1,55,1,haul,55.0
8380.2,5,6,haul,77.0
8405.2,13,5,load,0
8405.2,16,5,haul,35.0
8414.3,6,3,load,0
8414.3,27,3,haul,35.0
8465.7,51,101,dump,55.0
8482.3,15,102,dump,35.0
8487.2,11,6,load,0
8488.3,19,102,dump,35.0
8494.0,23,102,dump,35.0
8500.2,8,102,dump,77.0
8525.7,51,101,return,0
8542.3,15,102,return,0
8548.3,19,102,return,0
8554.0,23,102,return,0
8560.2,8,102,return,0
8584.5,1,7,load,0
8593.6,7,103,dump,77.0
8642.2,11,6,haul,35.0
8653.6,7,103,return,0
8670.4,4,6,load,0
8719.3,14,102,dump,35.0
8720.3,27,102,dump,35.0
8755.4,6,3,haul,77.0
8755.4,36,3,load,0
8775.1,33,102,dump,55.0
8779.3,14,102,return,0
8780.3,27,102,return,0
8821.5,50,101,dump,55.0
8835.1,33,102,return,0
8881.5,50,101,return,0
8883.0,26,102,dump,35.0
8943.0,26,102,return,0
8946.1,25,102,dump,35.0
8999.0,34,3,load,0
8999.0,36,3,haul,55.0
9006.1,25,102,return,0
9011.4,4,6,haul,77.0
9146.0,11,103,dump,35.0
9149.9,52,101,dump,55.0
9154.0,28,3,load,0
9154.0,34,3,haul,35.0
9206.0,11,103,return,0
9209.9,52,101,return,0
9216.4,5,103,dump,77.0
9261.4,4,103,dump,77.0
9270.1,56,2,load,0
9276.4,5,103,return,0
9294.4,16,102,dump,35.0
9321.4,4,103,return,0
9338.5,12,5,load,0
9338.5,13,5,haul,35.0
9354.4,16,102,return,0
9374.6,54,101,dump,55.0
9397.6,28,3,haul,55.0
9397.6,31,3,load,0
9434.6,54,101,return,0
9447.0,9,4,haul,77.0
9447.0,17,4,load,0
9484.8,10,8,load,0
9484.8,20,6,load,0
9513.7,56,2,haul,55.0
9513.7,57,2,load,0
9639.8,20,6,haul,35.0
9641.2,31,3,haul,55.0
9641.2,32,3,load,0
9647.7,55,101,dump,55.0
9706.0,53,101,dump,55.0
9707.7,55,101,return,0
9733.8,6,102,dump,77.0
9757.3,57,2,haul,55.0
9757.3,58,2,load,0
9766.0,53,101,return,0
9779.8,14,6,load,0
9793.8,6,102,return,0
9796.2,32,3,haul,35.0
9796.2,46,3,load,0
9934.9,14,6,haul,35.0
10000.9,58,2,haul,55.0
10000.9,59,2,load,0
10039.8,37,3,load,0
