t,truck_id,shovel_id,event,payload_t
0.0,10,4,load,0.0
1.6,29,5,load,0.0
2.3,33,3,load,0.0
2.8,37,1,load,0.0
11.7,6,6,load,0.0
12.4,32,2,load,0.0
114.4,25,1,load,0.0
114.4,37,1,haul,95.1
165.0,8,2,load,0.0
165.0,32,2,haul,130.8
180.4,10,4,haul,98.5
180.4,22,4,load,0.0
186.6,29,5,haul,142.1
186.6,35,5,load,0.0
244.8,1,1,load,0.0
244.8,25,1,haul,93.8
281.4,21,3,load,0.0
281.4,33,3,haul,215.0
330.1,6,6,haul,220.5
330.1,36,6,load,0.0
340.8,22,4,haul,91.1
340.8,28,4,load,0.0
374.2,2,2,load,0.0
374.2,8,2,haul,133.0
379.1,1,1,haul,100.1
379.1,13,1,load,0.0
441.7,17,5,load,0.0
441.7,35,5,haul,152.1
494.6,28,4,haul,105.2
494.6,34,4,load,0.0
497.1,7,1,load,0.0
497.1,13,1,haul,95.9
513.3,21,3,haul,243.4
513.3,27,3,load,0.0
543.5,2,2,haul,137.0
543.5,38,2,load,0.0
598.1,7,1,haul,95.0
598.1,31,1,load,0.0
633.4,16,4,load,0.0
633.4,34,4,haul,95.1
682.9,12,6,load,0.0
682.9,36,6,haul,226.2
695.6,11,5,load,0.0
695.6,17,5,haul,142.3
697.6,26,2,load,0.0
697.6,38,2,haul,138.6
712.4,19,1,load,0.0
712.4,31,1,haul,95.2
737.6,9,3,load,0.0
737.6,27,3,haul,214.0
738.5,29,101,dump,142.1
784.5,29,101,return,0.0
784.5,37,101,dump,95.1
792.9,4,4,load,0.0
792.9,16,4,haul,90.0
840.0,6,101,dump,220.5
840.0,37,101,return,0.0
851.8,20,2,load,0.0
851.8,26,2,haul,135.4
867.5,19,1,haul,92.1
893.2,6,101,return,0.0
893.2,25,101,dump,93.8
927.8,11,5,haul,129.6
927.8,41,5,load,0.0
953.1,4,4,haul,104.7
953.1,40,4,load,0.0
954.4,25,101,return,0.0
954.4,32,101,dump,130.8
960.4,9,3,haul,235.4
960.4,15,3,load,0.0
1003.5,10,101,dump,98.5
1003.5,32,101,return,0.0
1017.5,14,2,load,0.0
1017.5,20,2,haul,147.2
1070.9,10,101,return,0.0
1070.9,35,101,dump,152.1
1082.9,12,6,haul,234.4
1082.9,18,6,load,0.0
1125.4,1,101,dump,100.1
1125.4,35,101,return,0.0
1133.0,40,4,haul,92.5
1180.1,15,3,haul,222.0
1180.1,39,3,load,0.0
1180.6,1,101,return,0.0
1180.6,33,101,dump,215.0
1202.0,23,5,load,0.0
1202.0,41,5,haul,142.9
1222.3,14,2,haul,136.3
1237.2,8,101,dump,133.0
1237.2,33,101,return,0.0
1289.5,8,101,return,0.0
1289.5,36,101,dump,226.2
1331.5,13,101,dump,95.9
1331.5,36,101,return,0.0
1371.4,18,6,haul,235.5
1371.4,42,6,load,0.0
1391.2,13,101,return,0.0
1391.2,22,101,dump,91.1
1400.0,5,5,load,0.0
1400.0,23,5,haul,133.4
1420.7,3,3,load,0.0
1420.7,39,3,haul,240.2
1454.2,17,101,dump,142.3
1454.2,22,101,return,0.0
1512.7,7,101,dump,95.0
1512.7,17,101,return,0.0
1581.9,7,101,return,0.0
1581.9,28,101,dump,105.2
1641.3,2,101,dump,137.0
1641.3,28,101,return,0.0
1642.4,3,3,haul,231.2
1663.6,5,5,haul,132.7
1698.4,2,101,return,0.0
1698.4,21,101,dump,243.4
1705.5,29,1,load,0.0
1755.2,21,101,return,0.0
