t,truck_id,shovel_id,event,payload_t
0.0,10,5,load,0.0
1.0,22,2,load,0.0
4.9,21,1,load,0.0
15.2,8,3,load,0.0
19.8,4,4,load,0.0
112.0,17,2,load,0.0
112.0,22,2,haul,95.1
140.5,4,4,haul,91.5
140.5,9,4,load,0.0
152.8,10,5,haul,98.5
152.8,25,5,load,0.0
156.2,8,3,haul,142.1
156.2,23,3,load,0.0
264.6,17,2,haul,134.2
264.6,27,2,load,0.0
284.0,6,1,load,0.0
284.0,21,1,haul,215.0
318.3,5,5,load,0.0
318.3,25,5,haul,95.0
327.9,13,3,load,0.0
327.9,23,3,haul,130.3
374.2,9,4,haul,215.9
374.2,14,4,load,0.0
461.6,13,3,haul,100.1
461.6,18,3,load,0.0
481.8,5,5,haul,152.1
481.8,20,5,load,0.0
524.7,6,1,haul,242.9
524.7,11,1,load,0.0
538.8,2,2,load,0.0
538.8,27,2,haul,222.4
538.8,14,4,haul,150.4
538.8,24,4,load,0.0
630.9,15,5,load,0.0
630.9,20,5,haul,137.0
646.8,4,101,dump,91.5
687.4,2,2,haul,135.8
687.4,12,2,load,0.0
692.7,4,101,return,0.0
701.6,3,3,load,0.0
701.6,18,3,haul,220.7
717.3,11,1,haul,139.5
717.3,16,1,load,0.0
719.8,19,4,load,0.0
719.8,24,4,haul,230.7
852.4,1,1,load,0.0
852.4,16,1,haul,97.0
855.2,15,5,haul,220.9
861.7,9,101,dump,215.9
871.4,19,4,haul,92.1
905.8,7,2,load,0.0
905.8,12,2,haul,209.4
906.4,3,3,haul,219.7
917.2,9,101,return,0.0
991.7,1,1,haul,92.1
991.7,26,1,load,0.0
1027.9,7,2,haul,90.6
1063.9,14,101,dump,150.4
1117.2,8,101,dump,142.1
1117.2,14,101,return,0.0
1129.9,4,5,load,0.0
1178.3,8,101,return,0.0
1178.3,22,101,dump,95.1
1187.7,26,1,haul,149.3
1227.5,21,101,dump,215.0
1227.5,22,101,return,0.0
1254.3,4,5,haul,101.8
1294.8,21,101,return,0.0
1294.8,23,101,dump,130.3
1315.9,9,4,load,0.0
1349.4,23,101,return,0.0
1349.4,24,101,dump,230.7
1404.5,17,101,dump,134.2
1404.5,24,101,return,0.0
1461.2,10,101,dump,98.5
1461.2,17,101,return,0.0
1513.4,10,101,return,0.0
1513.4,19,101,dump,92.1
1530.0,14,1,load,0.0
1555.4,13,101,dump,100.1
1555.4,19,101,return,0.0
1559.1,9,4,haul,238.3
1598.0,8,2,load,0.0
1615.1,6,101,dump,242.9
1615.1,13,101,return,0.0
1664.7,22,5,load,0.0
1678.1,6,101,return,0.0
1678.1,25,101,dump,95.0
1695.6,14,1,haul,144.7
1736.6,25,101,return,0.0
1736.6,27,101,dump,222.4
1751.3,23,4,load,0.0
1790.7,21,3,load,0.0
1805.9,11,101,dump,139.5
1805.9,27,101,return,0.0
1805.9,8,2,haul,132.3
1817.0,22,5,haul,95.7
1865.2,5,101,dump,152.1
1865.2,11,101,return,0.0
1874.0,17,1,load,0.0
1906.3,23,4,haul,142.9
1906.3,24,4,load,0.0
1922.4,5,101,return,0.0
1922.4,18,101,dump,220.7
1938.0,10,2,load,0.0
1979.2,2,101,dump,135.8
1979.2,18,101,return,0.0
2012.2,17,1,haul,136.3
2012.2,19,1,load,0.0
2020.2,2,101,return,0.0
2020.2,16,101,dump,97.0
2056.9,10,2,haul,101.9
2056.9,13,2,load,0.0
2072.6,16,101,return,0.0
2072.6,20,101,dump,137.0
2081.0,21,3,haul,216.7
2093.6,6,5,load,0.0
2122.9,3,101,dump,219.7
2122.9,20,101,return,0.0
2146.8,24,4,haul,240.2
2158.3,19,1,haul,99.9
2177.2,1,101,dump,92.1
2177.2,3,101,return,0.0
2215.0,13,2,haul,92.8
2238.4,1,101,return,0.0
2238.4,12,101,dump,209.4
2267.2,11,4,load,0.0
2301.8,27,3,load,0.0
2305.4,12,101,return,0.0
2305.4,15,101,dump,220.9
2315.3,6,5,haul,220.1
2315.3,25,5,load,0.0
2379.8,18,1,load,0.0
2385.3,7,101,dump,90.6
2385.3,15,101,return,0.0
2458.9,7,101,return,0.0
2458.9,9,101,dump,238.3
2497.2,16,2,load,0.0
2512.4,9,101,return,0.0
2512.4,26,101,dump,149.3
2520.4,5,4,load,0.0
2520.4,11,4,haul,134.7
2529.0,25,5,haul,92.5
2551.0,27,3,haul,216.0
2572.7,4,101,dump,101.8
2572.7,26,101,return,0.0
2592.7,3,5,load,0.0
2611.3,16,2,haul,96.6
2611.3,20,2,load,0.0
2626.0,4,101,return,0.0
2626.0,23,101,dump,142.9
2640.8,2,1,load,0.0
2640.8,18,1,haul,235.6
2663.6,14,101,dump,144.7
2663.6,23,101,return,0.0
2666.5,5,4,haul,137.2
2704.1,12,4,load,0.0
2713.2,14,101,return,0.0
2713.2,24,101,dump,240.2
2754.7,1,3,load,0.0
2757.8,24,101,return,0.0
2791.8,8,101,dump,132.3
2824.8,2,1,haul,137.4
2824.8,15,1,load,0.0
2832.6,20,2,haul,133.9
2836.4,3,5,haul,228.0
2850.3,8,101,return,0.0
2896.1,7,5,load,0.0
2906.2,1,3,haul,102.6
2914.6,17,101,dump,136.3
2917.9,9,2,load,0.0
2918.1,12,4,haul,234.2
2974.7,26,4,load,0.0
2983.8,7,5,haul,92.0
2999.5,17,101,return,0.0
2999.5,22,101,dump,95.7
3047.6,21,101,dump,216.7
3047.6,22,101,return,0.0
3098.1,11,101,dump,134.7
3098.1,21,101,return,0.0
3124.8,4,2,load,0.0
3124.8,9,2,haul,217.2
3159.5,11,101,return,0.0
3159.5,19,101,dump,99.9
3160.3,15,1,haul,229.5
3160.3,23,1,load,0.0
3164.8,14,4,load,0.0
3164.8,26,4,haul,135.4
3222.7,10,101,dump,101.9
3222.7,19,101,return,0.0
3247.8,4,2,haul,103.1
3253.8,24,3,load,0.0
3287.9,5,101,dump,137.2
3287.9,10,101,return,0.0
3337.8,5,101,return,0.0
3337.8,13,101,dump,92.8
3340.6,14,4,haul,137.4
3352.9,8,1,load,0.0
3352.9,23,1,haul,141.5
3385.5,6,101,dump,220.1
3385.5,13,101,return,0.0
3431.1,17,5,load,0.0
3437.5,24,3,haul,220.0
3439.4,6,101,return,0.0
3439.4,12,101,dump,234.2
3450.7,22,4,load,0.0
3495.4,12,101,return,0.0
3495.4,27,101,dump,216.0
3503.7,21,2,load,0.0
3542.8,8,1,haul,130.9
3560.7,18,101,dump,235.6
3560.7,27,101,return,0.0
3590.9,22,4,haul,91.9
3608.1,18,101,return,0.0
3625.7,19,4,load,0.0
3633.6,17,5,haul,153.4
3643.0,16,101,dump,96.6
3709.6,16,101,return,0.0
3709.6,26,101,dump,135.4
3750.6,5,1,load,0.0
3755.6,25,101,dump,92.5
3755.6,26,101,return,0.0
3768.0,11,2,load,0.0
3768.0,21,2,haul,216.2
3796.2,19,4,haul,98.0
3800.7,2,101,dump,137.4
3800.7,25,101,return,0.0
3804.2,10,3,load,0.0
3848.4,1,101,dump,102.6
3848.4,2,101,return,0.0
3854.9,6,5,load,0.0
3894.1,12,4,load,0.0
3911.9,1,101,return,0.0
3911.9,14,101,dump,137.4
3925.1,5,1,haul,141.4
3925.1,13,1,load,0.0
3935.1,11,2,haul,130.0
3944.1,10,3,haul,97.6
3966.2,27,2,load,0.0
3976.9,14,101,return,0.0
3976.9,20,101,dump,133.9
4030.9,3,101,dump,228.0
4030.9,20,101,return,0.0
4039.6,13,1,haul,100.6
4082.8,3,101,return,0.0
4082.8,15,101,dump,229.5
4092.5,6,5,haul,224.5
4092.5,18,5,load,0.0
4104.0,12,4,haul,228.6
4112.6,16,4,load,0.0
4130.0,7,101,dump,92.0
4130.0,15,101,return,0.0
4168.4,26,1,load,0.0
4173.8,7,101,return,0.0
4173.8,22,101,dump,91.9
4216.5,9,101,dump,217.2
4216.5,22,101,return,0.0
4268.7,9,101,return,0.0
4268.7,23,101,dump,141.5
4278.0,16,4,haul,95.6
4315.0,1,4,load,0.0
4317.0,25,2,load,0.0
4317.0,27,2,haul,212.9
4324.7,4,101,dump,103.1
4324.7,23,101,return,0.0
4346.8,26,1,haul,146.6
4354.4,18,5,haul,222.8
4359.6,2,3,load,0.0
4384.9,4,101,return,0.0
4384.9,19,101,dump,98.0
4389.7,14,1,load,0.0
4465.0,1,4,haul,101.5
4465.5,19,101,return,0.0
4465.5,24,101,dump,220.0
4479.7,20,2,load,0.0
4479.7,25,2,haul,95.3
4498.3,3,5,load,0.0
4515.9,8,101,dump,130.9
4515.9,24,101,return,0.0
4516.1,2,3,haul,145.7
4528.8,15,4,load,0.0
4542.2,14,1,haul,134.1
4583.9,8,101,return,0.0
4590.8,7,1,load,0.0
4598.8,12,101,dump,228.6
4654.3,12,101,return,0.0
4692.2,20,2,haul,128.3
4715.6,7,1,haul,108.6
4750.7,15,4,haul,241.4
4750.7,23,4,load,0.0
4752.6,3,5,haul,212.7
4752.6,22,5,load,0.0
4764.6,9,3,load,0.0
4795.0,16,101,dump,95.6
4809.5,4,2,load,0.0
4862.5,16,101,return,0.0
4862.5,17,101,dump,153.4
4882.5,19,1,load,0.0
4928.5,22,5,haul,107.8
4934.5,5,101,dump,141.4
4934.5,17,101,return,0.0
4964.5,23,4,haul,142.8
4969.6,4,2,haul,103.6
4969.6,24,2,load,0.0
4985.8,8,4,load,0.0
4991.4,5,101,return,0.0
4991.4,21,101,dump,216.2
5030.1,9,3,haul,222.7
5045.1,10,101,dump,97.6
5045.1,21,101,return,0.0
5057.2,12,1,load,0.0
5057.2,19,1,haul,91.5
5107.6,1,101,dump,101.5
5107.6,10,101,return,0.0
5145.7,8,4,haul,134.8
5167.6,1,101,return,0.0
5167.6,13,101,dump,100.6
5204.5,24,2,haul,229.4
5242.1,11,101,dump,130.0
5242.1,13,101,return,0.0
5299.7,16,5,load,0.0
5309.3,6,101,dump,224.5
5309.3,11,101,return,0.0
5329.2,12,1,haul,228.7
5365.2,6,101,return,0.0
5365.2,26,101,dump,146.6
5393.4,5,4,load,0.0
5415.9,15,101,dump,241.4
5415.9,26,101,return,0.0
5445.6,17,3,load,0.0
5447.3,16,5,haul,98.3
5450.7,21,2,load,0.0
5456.1,15,101,return,0.0
5456.1,27,101,dump,212.9
5511.1,14,101,dump,134.1
5511.1,27,101,return,0.0
5524.6,10,1,load,0.0
5563.7,14,101,return,0.0
5563.7,23,101,dump,142.8
5578.6,1,4,load,0.0
5578.6,5,4,haul,142.8
5593.2,17,3,haul,137.9
5620.0,2,101,dump,145.7
5620.0,23,101,return,0.0
5670.9,2,101,return,0.0
5670.9,18,101,dump,222.8
5683.4,10,1,haul,87.9
5683.4,13,1,load,0.0
5722.3,18,101,return,0.0
5722.3,25,101,dump,95.3
5725.7,21,2,haul,217.7
5737.5,1,4,haul,99.6
5740.9,11,5,load,0.0
5768.2,7,101,dump,108.6
5768.2,25,101,return,0.0
5770.7,6,2,load,0.0
5794.5,13,1,haul,102.1
5817.8,26,4,load,0.0
5830.5,7,101,return,0.0
5830.5,8,101,dump,134.8
5855.8,11,5,haul,129.9
5873.1,8,101,return,0.0
5873.1,20,101,dump,128.3
5929.1,3,101,dump,212.7
5929.1,20,101,return,0.0
5952.0,15,3,load,0.0
5966.5,3,101,return,0.0
5966.5,9,101,dump,222.7
5976.5,14,1,load,0.0
5983.0,26,4,haul,142.5
5992.8,6,2,haul,246.5
5992.8,27,2,load,0.0
6016.1,9,101,return,0.0
6016.1,19,101,dump,91.5
6021.9,23,4,load,0.0
6059.0,4,101,dump,103.6
6059.0,19,101,return,0.0
6102.6,2,5,load,0.0
6118.9,4,101,return,0.0
6118.9,5,101,dump,142.8
6156.5,23,4,haul,136.4
6169.4,5,101,return,0.0
6169.4,22,101,dump,107.8
6184.5,14,1,haul,147.2
6184.5,18,1,load,0.0
6216.5,22,101,return,0.0
6216.5,24,101,dump,229.4
6233.5,7,4,load,0.0
6260.2,15,3,haul,210.4
6271.0,27,2,haul,220.1
6271.9,12,101,dump,228.7
6271.9,24,101,return,0.0
6284.3,2,5,haul,147.8
6284.3,25,5,load,0.0
6292.8,8,2,load,0.0
6326.6,1,101,dump,99.6
6326.6,12,101,return,0.0
6377.4,1,101,return,0.0
6421.1,7,4,haul,97.8
6427.3,25,5,haul,86.6
6440.2,20,3,load,0.0
6459.8,9,1,load,0.0
6459.8,18,1,haul,214.7
6462.1,19,4,load,0.0
6498.6,26,101,dump,142.5
6502.3,8,2,haul,138.6
6543.5,4,2,load,0.0
6555.0,17,101,dump,137.9
6555.0,26,101,return,0.0
6586.0,19,4,haul,99.5
6601.0,5,5,load,0.0
6602.3,3,3,load,0.0
6602.3,20,3,haul,131.0
6610.4,10,101,dump,87.9
6610.4,17,101,return,0.0
6667.4,9,1,haul,210.1
6667.4,22,1,load,0.0
6667.7,10,101,return,0.0
6667.7,16,101,dump,98.3
6670.7,24,4,load,0.0
6684.3,4,2,haul,94.8
6719.9,16,101,return,0.0
6719.9,23,101,dump,136.4
6732.2,12,2,load,0.0
6777.9,13,101,dump,102.1
6777.9,23,101,return,0.0
6783.0,5,5,haul,138.2
6814.6,1,5,load,0.0
6816.8,22,1,haul,95.1
6828.3,13,101,return,0.0
6828.3,21,101,dump,217.7
6843.4,24,4,haul,242.5
6877.8,3,3,haul,211.7
6884.0,21,101,return,0.0
6938.0,7,101,dump,97.8
6957.0,26,4,load,0.0
6959.8,1,5,haul,98.6
6998.1,7,101,return,0.0
6998.1,11,101,dump,129.9
7006.3,12,2,haul,213.1
7050.7,6,101,dump,246.5
7050.7,11,101,return,0.0
7084.7,10,1,load,0.0
7108.2,6,101,return,0.0
7108.2,14,101,dump,147.2
7121.5,17,3,load,0.0
7142.1,16,4,load,0.0
7142.1,26,4,haul,133.5
7177.7,14,101,return,0.0
7177.7,19,101,dump,99.5
7197.7,23,2,load,0.0
7216.1,10,1,haul,89.2
7226.5,15,101,dump,210.4
7226.5,19,101,return,0.0
7265.6,13,5,load,0.0
7278.8,15,101,return,0.0
7278.8,27,101,dump,220.1
7284.7,21,1,load,0.0
7285.7,16,4,haul,92.3
7294.8,17,3,haul,146.3
7327.4,18,101,dump,214.7
7327.4,27,101,return,0.0
7375.0,18,101,return,0.0
7375.0,24,101,dump,242.5
7401.1,7,4,load,0.0
7408.6,23,2,haul,149.4
7413.2,13,5,haul,96.1
7437.0,24,101,return,0.0
7470.5,11,2,load,0.0
7477.2,2,101,dump,147.8
7511.9,7,4,haul,95.2
7538.5,2,101,return,0.0
7538.5,8,101,dump,138.6
7595.0,8,101,return,0.0
7595.0,20,101,dump,131.0
7601.4,6,1,load,0.0
7601.4,21,1,haul,239.3
