t,truck_id,shovel_id,event,payload_t
0.0,10,2,load,0.0
4.9,21,1,load,0.0
10.1,27,3,load,0.0
12.9,28,4,load,0.0
135.9,17,1,load,0.0
135.9,21,1,haul,95.1
153.9,8,4,load,0.0
153.9,28,4,haul,130.8
193.1,10,2,haul,140.7
193.1,22,2,load,0.0
194.1,11,3,load,0.0
194.1,27,3,haul,99.5
278.4,17,1,haul,93.8
278.4,25,1,load,0.0
306.6,8,4,haul,132.4
306.6,16,4,load,0.0
358.0,6,2,load,0.0
358.0,22,2,haul,135.9
389.4,11,3,haul,91.1
389.4,23,3,load,0.0
438.8,1,1,load,0.0
438.8,25,1,haul,93.0
488.5,10,101,dump,140.7
500.0,4,4,load,0.0
500.0,16,4,haul,142.9
527.8,2,2,load,0.0
527.8,6,2,haul,152.1
534.5,10,101,return,0.0
542.2,7,3,load,0.0
542.2,23,3,haul,105.2
596.6,1,1,haul,95.9
596.6,5,1,load,0.0
619.4,21,101,dump,95.1
664.6,4,4,haul,150.4
664.6,12,4,load,0.0
674.9,21,101,return,0.0
674.9,22,101,dump,135.9
681.4,7,3,haul,95.8
681.4,15,3,load,0.0
697.0,2,2,haul,135.8
697.0,26,2,load,0.0
728.2,22,101,return,0.0
744.4,27,101,dump,99.5
776.5,5,1,haul,95.1
776.5,13,1,load,0.0
800.7,3,3,load,0.0
800.7,15,3,haul,97.6
805.5,17,101,dump,93.8
805.5,27,101,return,0.0
813.2,12,4,haul,142.3
813.2,20,4,load,0.0
854.7,6,101,dump,152.1
854.7,17,101,return,0.0
855.2,18,2,load,0.0
855.2,26,2,haul,138.6
920.4,9,1,load,0.0
920.4,13,1,haul,95.2
922.0,6,101,return,0.0
922.0,28,101,dump,130.8
935.6,3,3,haul,92.1
935.6,19,3,load,0.0
976.6,8,101,dump,132.4
976.6,28,101,return,0.0
983.9,20,4,haul,128.8
983.9,24,4,load,0.0
1031.8,8,101,return,0.0
1031.8,25,101,dump,93.0
1046.8,14,2,load,0.0
1046.8,18,2,haul,135.4
1079.7,19,3,haul,92.1
1085.0,9,1,haul,90.6
1088.4,11,101,dump,91.1
1088.4,25,101,return,0.0
1140.6,2,101,dump,135.8
1140.6,11,101,return,0.0
1153.6,21,1,load,0.0
1180.0,24,4,haul,149.3
1182.6,1,101,dump,95.9
1182.6,2,101,return,0.0
1204.0,10,2,load,0.0
1204.0,14,2,haul,145.3
1242.3,1,101,return,0.0
1242.3,23,101,dump,105.2
1261.4,22,3,load,0.0
1305.3,23,101,return,0.0
1305.3,26,101,dump,138.6
1313.9,21,1,haul,103.2
1333.3,27,1,load,0.0
1363.9,16,101,dump,142.9
1363.9,26,101,return,0.0
1369.7,6,2,load,0.0
1369.7,10,2,haul,144.7
1433.1,7,101,dump,95.8
1433.1,16,101,return,0.0
1489.8,17,4,load,0.0
1492.5,5,101,dump,95.1
1492.5,7,101,return,0.0
1513.2,27,1,haul,92.5
1524.7,6,2,haul,136.8
1524.7,25,2,load,0.0
1535.5,22,3,haul,142.9
1549.6,4,101,dump,150.4
1549.6,5,101,return,0.0
1576.4,28,3,load,0.0
1606.4,4,101,return,0.0
1606.4,18,101,dump,135.4
1634.0,25,2,haul,95.4
1647.4,15,101,dump,97.6
1647.4,18,101,return,0.0
1651.8,8,4,load,0.0
1651.8,17,4,haul,101.9
1699.8,13,101,dump,95.2
1699.8,15,101,return,0.0
1750.2,13,101,return,0.0
1750.2,14,101,dump,145.3
1769.3,1,2,load,0.0
1770.9,11,1,load,0.0
1800.2,28,3,haul,133.4
1802.1,8,4,haul,148.4
1804.4,12,101,dump,142.3
1804.4,14,101,return,0.0
1865.6,3,101,dump,92.1
1865.6,12,101,return,0.0
1915.4,1,2,haul,99.9
1915.4,16,2,load,0.0
1932.6,3,101,return,0.0
1932.6,9,101,dump,90.6
1957.6,2,1,load,0.0
1957.6,11,1,haul,92.8
2012.5,9,101,return,0.0
2012.5,20,101,dump,128.8
2037.4,23,3,load,0.0
2071.8,5,2,load,0.0
2071.8,16,2,haul,135.6
2086.1,10,101,dump,144.7
2086.1,20,101,return,0.0
2139.6,10,101,return,0.0
2139.6,19,101,dump,92.1
2200.0,19,101,return,0.0
2200.0,24,101,dump,149.3
2201.6,23,3,haul,94.2
2231.0,7,4,load,0.0
2253.2,6,101,dump,136.8
2253.2,24,101,return,0.0
2285.4,5,2,haul,92.5
2285.4,14,2,load,0.0
2290.9,6,101,return,0.0
2290.9,21,101,dump,103.2
2291.5,2,1,haul,133.0
2291.5,26,1,load,0.0
2334.0,4,3,load,0.0
2340.4,21,101,return,0.0
2340.4,25,101,dump,95.4
2376.6,7,4,haul,96.6
2385.1,25,101,return,0.0
2385.1,27,101,dump,92.5
2429.6,3,2,load,0.0
2429.6,14,2,haul,145.5
2437.8,15,4,load,0.0
2443.5,22,101,dump,142.9
2443.5,27,101,return,0.0
2484.2,12,1,load,0.0
2484.2,26,1,haul,137.2
2528.4,1,101,dump,99.9
2528.4,22,101,return,0.0
2560.7,4,3,haul,137.4
2560.7,18,3,load,0.0
2576.6,1,101,return,0.0
2576.6,17,101,dump,101.9
2583.4,13,4,load,0.0
2583.4,15,4,haul,93.7
2604.7,3,2,haul,98.4
2604.7,20,2,load,0.0
2627.1,17,101,return,0.0
2627.1,28,101,dump,133.4
2683.3,9,1,load,0.0
2683.3,12,1,haul,146.5
2688.4,16,101,dump,135.6
2688.4,28,101,return,0.0
2715.6,19,2,load,0.0
2715.6,20,2,haul,144.6
2751.6,8,101,dump,148.4
2751.6,16,101,return,0.0
2770.6,13,4,haul,92.0
2813.2,10,3,load,0.0
2813.2,18,3,haul,133.8
2816.8,8,101,return,0.0
2816.8,11,101,dump,92.8
2819.6,9,1,haul,99.2
2866.0,6,2,load,0.0
2866.0,19,2,haul,94.7
2866.7,5,101,dump,92.5
2866.7,11,101,return,0.0
2881.2,21,1,load,0.0
2894.6,24,4,load,0.0
2914.5,5,101,return,0.0
2914.5,14,101,dump,145.5
2968.3,14,101,return,0.0
2968.3,23,101,dump,94.2
3018.1,10,3,haul,147.2
3018.1,25,3,load,0.0
3024.3,24,4,haul,137.4
3024.3,2,101,dump,133.0
3024.3,23,101,return,0.0
3045.4,21,1,haul,99.1
3058.6,6,2,haul,135.6
3058.6,17,2,load,0.0
3069.2,22,1,load,0.0
3071.4,27,4,load,0.0
3089.6,2,101,return,0.0
3089.6,3,101,dump,98.4
3137.0,3,101,return,0.0
3137.0,26,101,dump,137.2
3195.5,1,3,load,0.0
3195.5,25,3,haul,91.5
3203.6,20,101,dump,144.6
3203.6,26,101,return,0.0
3218.7,16,2,load,0.0
3218.7,17,2,haul,91.9
3218.9,27,4,haul,107.6
3249.6,7,101,dump,96.6
3249.6,20,101,return,0.0
3294.7,4,101,dump,137.4
3294.7,7,101,return,0.0
3303.0,22,1,haul,133.1
3303.0,28,1,load,0.0
3342.5,4,101,return,0.0
3342.5,19,101,dump,94.7
3393.3,11,2,load,0.0
3393.3,16,2,haul,140.0
3396.8,1,3,haul,99.0
3406.0,12,101,dump,146.5
3406.0,19,101,return,0.0
3445.5,8,3,load,0.0
3470.9,12,101,return,0.0
3470.9,15,101,dump,93.7
3523.3,28,1,haul,130.0
3525.0,9,101,dump,99.2
3525.0,15,101,return,0.0
3533.2,11,2,haul,97.6
3576.8,6,101,dump,135.6
3576.8,9,101,return,0.0
3608.1,14,1,load,0.0
3624.1,6,101,return,0.0
3624.1,18,101,dump,133.8
3627.0,5,4,load,0.0
3651.3,3,2,load,0.0
3666.5,8,3,haul,143.7
3667.8,18,101,return,0.0
3675.1,13,101,dump,92.0
3717.8,13,101,return,0.0
3729.7,17,101,dump,91.9
3741.6,5,4,haul,96.8
3755.0,23,3,load,0.0
3777.4,2,4,load,0.0
3781.9,17,101,return,0.0
3781.9,21,101,dump,99.1
3803.3,14,1,haul,141.0
3837.9,21,101,return,0.0
3847.1,3,2,haul,95.6
3847.1,20,2,load,0.0
3848.5,10,101,dump,147.2
3873.3,26,1,load,0.0
3908.7,10,101,return,0.0
3911.7,24,101,dump,137.4
3927.5,23,3,haul,91.6
3986.4,2,4,haul,146.6
3992.3,16,101,dump,140.0
3992.3,24,101,return,0.0
4001.6,7,3,load,0.0
4025.5,19,2,load,0.0
4025.5,20,2,haul,137.3
4042.7,16,101,return,0.0
4042.7,25,101,dump,91.5
4110.7,11,101,dump,97.6
