t,truck_id,shovel_id,event,payload_t
0.0,10,2,load,0.0
4.9,21,1,load,0.0
10.1,27,3,load,0.0
12.9,28,4,load,0.0
135.9,17,1,load,0.0
135.9,21,1,haul,95.1
153.9,8,4,load,0.0
153.9,28,4,haul,130.8
193.1,10,2,haul,140.7
193.1,22,2,load,0.0
194.1,11,3,load,0.0
194.1,27,3,haul,99.5
278.4,17,1,haul,93.8
278.4,25,1,load,0.0
306.6,8,4,haul,132.4
306.6,16,4,load,0.0
358.0,6,2,load,0.0
358.0,22,2,haul,135.9
389.4,11,3,haul,91.1
389.4,23,3,load,0.0
438.8,1,1,load,0.0
438.8,25,1,haul,93.0
488.5,10,101,dump,140.7
500.0,4,4,load,0.0
500.0,16,4,haul,142.9
527.8,2,2,load,0.0
527.8,6,2,haul,152.1
534.5,10,101,return,0.0
542.2,7,3,load,0.0
542.2,23,3,haul,105.2
596.6,1,1,haul,95.9
596.6,5,1,load,0.0
619.4,21,101,dump,95.1
664.6,4,4,haul,150.4
664.6,12,4,load,0.0
674.9,21,101,return,0.0
674.9,22,101,dump,135.9
681.4,7,3,haul,95.8
681.4,15,3,load,0.0
697.0,2,2,haul,135.8
697.0,26,2,load,0.0
728.2,22,101,return,0.0
744.4,27,101,dump,99.5
776.5,5,1,haul,95.1
776.5,13,1,load,0.0
800.7,3,3,load,0.0
800.7,15,3,haul,97.6
805.5,17,101,dump,93.8
805.5,27,101,return,0.0
813.2,12,4,haul,142.3
813.2,20,4,load,0.0
854.7,6,101,dump,152.1
854.7,17,101,return,0.0
855.2,18,2,load,0.0
855.2,26,2,haul,138.6
920.4,9,1,load,0.0
920.4,13,1,haul,95.2
922.0,6,101,return,0.0
922.0,28,101,dump,130.8
935.6,3,3,haul,92.1
935.6,19,3,load,0.0
976.6,8,101,dump,132.4
976.6,28,101,return,0.0
983.9,20,4,haul,128.8
983.9,24,4,load,0.0
1031.8,8,101,return,0.0
1031.8,25,101,dump,93.0
1046.8,14,2,load,0.0
1046.8,18,2,haul,135.4
1079.7,19,3,haul,92.1
1085.0,9,1,haul,90.6
1088.4,11,101,dump,91.1
1088.4,25,101,return,0.0
1140.6,2,101,dump,135.8
1140.6,11,101,return,0.0
1180.0,24,4,haul,149.3
1182.6,1,101,dump,95.9
1182.6,2,101,return,0.0
1204.0,10,2,load,0.0
1204.0,14,2,haul,145.3
1242.3,1,101,return,0.0
1242.3,23,101,dump,105.2
1305.3,23,101,return,0.0
1305.3,26,101,dump,138.6
1363.9,16,101,dump,142.9
1363.9,26,101,return,0.0
1375.6,10,2,haul,147.2
1375.6,21,2,load,0.0
1433.1,7,101,dump,95.8
1433.1,16,101,return,0.0
1492.5,5,101,dump,95.1
1492.5,7,101,return,0.0
1506.6,21,2,haul,101.4
1506.6,22,2,load,0.0
1549.6,4,101,dump,150.4
1549.6,5,101,return,0.0
1606.4,4,101,return,0.0
1606.4,18,101,dump,135.4
1647.4,15,101,dump,97.6
1647.4,18,101,return,0.0
1699.8,13,101,dump,95.2
1699.8,15,101,return,0.0
1714.5,22,2,haul,132.3
1714.5,27,2,load,0.0
1750.2,12,101,dump,142.3
1750.2,13,101,return,0.0
1804.4,12,101,return,0.0
1804.4,14,101,dump,145.3
1865.6,3,101,dump,92.1
1865.6,14,101,return,0.0
1866.9,17,2,load,0.0
1866.9,27,2,haul,95.7
1932.6,3,101,return,0.0
1932.6,9,101,dump,90.6
1989.5,6,2,load,0.0
1989.5,17,2,haul,100.1
2012.5,9,101,return,0.0
2012.5,20,101,dump,128.8
2086.1,19,101,dump,92.1
2086.1,20,101,return,0.0
2139.6,10,101,dump,147.2
2139.6,19,101,return,0.0
2194.3,6,2,haul,136.3
2194.3,28,2,load,0.0
2200.0,10,101,return,0.0
2200.0,24,101,dump,149.3
2253.2,21,101,dump,101.4
2253.2,24,101,return,0.0
2290.9,21,101,return,0.0
2290.9,22,101,dump,132.3
2332.5,8,2,load,0.0
2332.5,28,2,haul,145.4
2340.4,22,101,return,0.0
2340.4,27,101,dump,95.7
2385.1,17,101,dump,100.1
2385.1,27,101,return,0.0
2443.5,17,101,return,0.0
2493.1,6,101,dump,136.3
2502.2,8,2,haul,133.4
2502.2,25,2,load,0.0
2578.0,6,101,return,0.0
2621.0,11,2,load,0.0
2621.0,25,2,haul,104.0
2644.4,28,101,dump,145.4
2692.5,28,101,return,0.0
2767.1,2,2,load,0.0
2767.1,11,2,haul,99.9
2799.5,8,101,dump,133.4
2850.0,8,101,return,0.0
2935.0,25,101,dump,104.0
2967.0,1,2,load,0.0
2967.0,2,2,haul,132.7
2996.3,25,101,return,0.0
3063.2,11,101,dump,99.9
3090.8,1,2,haul,94.9
3090.8,23,2,load,0.0
3126.4,11,101,return,0.0
3258.0,2,101,dump,132.7
3291.1,23,2,haul,94.2
3291.1,26,2,load,0.0
3323.2,2,101,return,0.0
3386.8,1,101,dump,94.9
3436.7,1,101,return,0.0
3466.9,16,2,load,0.0
3466.9,26,2,haul,132.3
3587.2,23,101,dump,94.2
3634.9,23,101,return,0.0
3736.9,7,2,load,0.0
3736.9,16,2,haul,133.0
3761.2,26,101,dump,132.3
3815.0,26,101,return,0.0
3882.6,5,2,load,0.0
3882.6,7,2,haul,96.6
3996.7,4,2,load,0.0
3996.7,5,2,haul,101.9
4042.9,16,101,dump,133.0
4098.9,16,101,return,0.0
4142.8,4,2,haul,137.2
4142.8,18,2,load,0.0
4178.7,7,101,dump,96.6
4244.0,7,101,return,0.0
4292.8,5,101,dump,101.9
4314.8,15,2,load,0.0
4314.8,18,2,haul,137.4
4340.2,5,101,return,0.0
4452.4,4,101,dump,137.2
4489.9,13,2,load,0.0
4489.9,15,2,haul,93.7
4519.0,4,101,return,0.0
4610.2,18,101,dump,137.4
4635.5,12,2,load,0.0
4635.5,13,2,haul,98.4
4656.1,18,101,return,0.0
4780.7,15,101,dump,93.7
4786.4,12,2,haul,146.5
4786.4,14,2,load,0.0
4825.8,15,101,return,0.0
4932.9,13,101,dump,98.4
4977.9,3,2,load,0.0
4977.9,14,2,haul,144.6
4980.7,13,101,return,0.0
5081.8,12,101,dump,146.5
5145.3,12,101,return,0.0
5165.1,3,2,haul,92.0
5165.1,9,2,load,0.0
5252.8,9,2,haul,93.5
5252.8,20,2,load,0.0
5273.3,14,101,dump,144.6
5338.2,14,101,return,0.0
5398.8,19,2,load,0.0
5398.8,20,2,haul,141.6
5466.4,3,101,dump,92.0
5520.4,3,101,return,0.0
5549.2,10,2,load,0.0
5549.2,19,2,haul,94.7
5554.0,9,101,dump,93.5
5605.8,9,101,return,0.0
5694.2,20,101,dump,141.6
5704.6,10,2,haul,147.2
5704.6,24,2,load,0.0
5741.4,20,101,return,0.0
5845.3,19,101,dump,94.7
5889.1,19,101,return,0.0
5897.2,21,2,load,0.0
5897.2,24,2,haul,137.4
6000.0,10,101,dump,147.2
6036.3,21,2,haul,99.1
6036.3,22,2,load,0.0
6042.7,10,101,return,0.0
6165.9,22,2,haul,135.6
6165.9,27,2,load,0.0
6192.6,24,101,dump,137.4
6244.7,24,101,return,0.0
6316.1,17,2,load,0.0
6316.1,27,2,haul,91.5
6336.3,21,101,dump,99.1
6392.3,21,101,return,0.0
6461.3,22,101,dump,135.6
6476.3,6,2,load,0.0
6476.3,17,2,haul,91.9
6521.5,22,101,return,0.0
6606.9,27,101,dump,91.5
6653.6,6,2,haul,153.4
6653.6,28,2,load,0.0
6687.6,27,101,return,0.0
6767.1,17,101,dump,91.9
6817.5,17,101,return,0.0
6840.0,8,2,load,0.0
6840.0,28,2,haul,133.1
6954.8,6,101,dump,153.4
7022.8,6,101,return,0.0
7055.6,8,2,haul,140.0
7055.6,25,2,load,0.0
7138.2,28,101,dump,133.1
7193.7,11,2,load,0.0
7193.7,25,2,haul,99.0
7193.7,28,101,return,0.0
7325.9,2,2,load,0.0
7325.9,11,2,haul,90.9
7351.0,8,101,dump,140.0
7418.5,8,101,return,0.0
7489.7,25,101,dump,99.0
7502.8,1,2,load,0.0
7502.8,2,2,haul,139.4
7561.7,25,101,return,0.0
7628.1,11,101,dump,90.9
7635.4,1,2,haul,100.6
7635.4,23,2,load,0.0
7685.1,11,101,return,0.0
7752.5,23,2,haul,96.8
7752.5,26,2,load,0.0
7798.2,2,101,dump,139.4
7851.8,2,101,return,0.0
7897.3,16,2,load,0.0
7897.3,26,2,haul,141.0
