t,truck_id,shovel_id,event,payload_t
0.0,2,2,load,0.0
8.0,1,1,load,0.0
300.9,1,1,haul,220.6
300.9,5,1,load,0.0
403.2,2,2,haul,212.6
403.2,4,2,load,0.0
697.7,4,2,haul,228.0
712.0,3,1,load,0.0
712.0,5,1,haul,230.4
801.7,1,101,dump,220.6
847.6,1,101,return,0.0
847.6,2,101,dump,212.6
903.1,2,101,return,0.0
1030.4,3,1,haul,217.9
1098.6,4,101,dump,228.0
1151.9,4,101,return,0.0
1182.7,1,2,load,0.0
1212.8,5,101,dump,230.4
1274.0,5,101,return,0.0
1286.8,2,1,load,0.0
1501.4,1,2,haul,215.0
1501.4,4,2,load,0.0
1531.2,3,101,dump,217.9
1580.4,3,101,return,0.0
1631.0,2,1,haul,220.5
1898.3,1,101,dump,215.0
1938.1,4,2,haul,211.8
1938.1,5,2,load,0.0
1964.1,3,1,load,0.0
1965.7,1,101,return,0.0
2131.8,2,101,dump,220.5
2186.4,2,101,return,0.0
2296.6,5,2,haul,215.9
2305.5,1,2,load,0.0
2335.0,4,101,dump,211.8
2367.9,3,1,haul,231.5
2390.2,4,101,return,0.0
2570.0,2,1,load,0.0
2660.0,1,2,haul,246.1
2693.6,5,101,dump,215.9
2719.3,4,2,load,0.0
2750.2,5,101,return,0.0
2868.7,3,101,dump,231.5
2911.5,2,1,haul,242.9
2920.9,3,101,return,0.0
3065.1,1,101,dump,246.1
3072.1,4,2,haul,222.4
3079.3,5,2,load,0.0
3107.1,1,101,return,0.0
3304.6,3,1,load,0.0
3423.1,5,2,haul,243.4
3423.4,2,101,dump,242.9
3442.9,1,2,load,0.0
3483.1,2,101,return,0.0
3483.1,4,101,dump,222.4
3546.1,4,101,return,0.0
3657.9,3,1,haul,222.2
3754.1,1,2,haul,220.3
3812.2,2,2,load,0.0
3828.2,5,101,dump,243.4
3886.8,5,101,return,0.0
3929.8,4,1,load,0.0
4154.9,1,101,dump,220.3
4214.2,2,2,haul,220.7
4215.9,5,2,load,0.0
4224.2,1,101,return,0.0
4224.2,3,101,dump,222.2
4240.1,4,1,haul,226.2
4283.5,3,101,return,0.0
4482.4,5,2,haul,230.7
4585.0,1,2,load,0.0
4615.1,2,101,dump,220.7
4672.3,2,101,return,0.0
4673.7,3,1,load,0.0
4740.9,4,101,dump,226.2
4797.6,4,101,return,0.0
4883.3,5,101,dump,230.7
4915.4,1,2,haul,224.9
4924.3,5,101,return,0.0
4995.5,3,1,haul,220.9
5001.3,2,2,load,0.0
5181.3,4,1,load,0.0
5303.0,2,2,haul,214.0
5303.0,5,2,load,0.0
5316.3,1,101,dump,224.9
5368.7,1,101,return,0.0
5496.3,3,101,dump,220.9
5537.9,4,1,haul,209.4
5546.6,3,101,return,0.0
5699.9,2,101,dump,214.0
5703.0,1,2,load,0.0
5703.0,5,2,haul,219.7
5754.2,2,101,return,0.0
5930.3,3,1,load,0.0
6037.5,4,101,dump,209.4
6070.7,1,2,haul,214.0
6083.3,2,2,load,0.0
6098.6,4,101,return,0.0
6103.8,5,101,dump,219.7
6170.8,5,101,return,0.0
6252.4,3,1,haul,210.7
6467.6,1,101,dump,214.0
6492.6,2,2,haul,241.7
6492.6,4,2,load,0.0
6547.5,1,101,return,0.0
6554.5,5,1,load,0.0
6745.9,3,101,dump,210.7
6819.5,3,101,return,0.0
6820.8,4,2,haul,235.4
6876.6,1,2,load,0.0
6897.8,2,101,dump,241.7
6912.6,5,1,haul,238.3
6951.3,2,101,return,0.0
7203.2,3,1,load,0.0
7222.5,1,2,haul,234.4
7224.7,4,101,dump,235.4
7280.4,2,2,load,0.0
7285.1,4,101,return,0.0
7421.4,5,101,dump,238.3
7474.7,5,101,return,0.0
7623.4,1,101,dump,234.4
7637.2,3,1,haul,214.9
7661.0,1,101,return,0.0
7682.4,2,2,haul,222.0
7682.4,4,2,load,0.0
7858.3,5,1,load,0.0
8006.0,4,2,haul,231.6
8007.2,1,2,load,0.0
8083.3,2,101,dump,222.0
8132.8,2,101,return,0.0
8132.8,3,101,dump,214.9
8177.5,3,101,return,0.0
8285.9,5,1,haul,221.2
8295.7,1,2,haul,235.5
8406.9,4,101,dump,231.6
8461.9,2,2,load,0.0
8465.3,4,101,return,0.0
8561.2,3,1,load,0.0
8696.6,1,101,dump,235.5
8781.5,1,101,return,0.0
8786.7,5,101,dump,221.2
8816.2,2,2,haul,216.7
8816.2,4,2,load,0.0
8834.9,5,101,return,0.0
8874.8,3,1,haul,240.2
9193.9,1,1,load,0.0
9201.8,4,2,haul,231.2
9201.8,5,2,load,0.0
9213.2,2,101,dump,216.7
9263.7,2,101,return,0.0
9383.6,3,101,dump,240.2
9445.0,3,101,return,0.0
9528.4,5,2,haul,215.6
9592.8,2,2,load,0.0
9602.7,4,101,dump,231.2
