t,truck_id,shovel_id,event,payload_t
0.0,2,2,load,0.0
8.0,1,1,load,0.0
300.9,1,1,haul,220.6
300.9,5,1,load,0.0
403.2,2,2,haul,212.6
403.2,4,2,load,0.0
697.7,4,2,haul,228.0
712.0,3,1,load,0.0
712.0,5,1,haul,230.4
801.7,1,101,dump,220.6
847.6,1,101,return,0.0
847.6,2,101,dump,212.6
903.1,2,101,return,0.0
1030.4,3,1,haul,217.9
1098.6,4,101,dump,228.0
1151.9,4,101,return,0.0
1182.7,1,2,load,0.0
1212.8,5,101,dump,230.4
1274.0,5,101,return,0.0
1501.4,1,2,haul,215.0
1501.4,2,2,load,0.0
1531.2,3,101,dump,217.9
1580.4,3,101,return,0.0
1845.5,2,2,haul,220.5
1845.5,4,2,load,0.0
1898.3,1,101,dump,215.0
1965.7,1,101,return,0.0
2246.4,2,101,dump,220.5
2282.2,4,2,haul,211.8
2282.2,5,2,load,0.0
2301.0,2,101,return,0.0
2640.8,3,2,load,0.0
2640.8,5,2,haul,215.9
2679.2,4,101,dump,211.8
2734.4,4,101,return,0.0
3037.8,5,101,dump,215.9
3044.6,1,2,load,0.0
3044.6,3,2,haul,231.5
3094.4,5,101,return,0.0
3399.1,1,2,haul,246.1
3399.1,2,2,load,0.0
3445.5,3,101,dump,231.5
3497.7,3,101,return,0.0
3740.6,2,2,haul,242.9
3740.6,4,2,load,0.0
3804.3,1,101,dump,246.1
3846.3,1,101,return,0.0
4093.4,4,2,haul,222.4
4093.4,5,2,load,0.0
4145.7,2,101,dump,242.9
4205.4,2,101,return,0.0
4437.1,3,2,load,0.0
4437.1,5,2,haul,243.4
4494.3,4,101,dump,222.4
4557.3,4,101,return,0.0
4790.5,1,2,load,0.0
4790.5,3,2,haul,222.2
4842.3,5,101,dump,243.4
4900.8,5,101,return,0.0
5101.7,1,2,haul,220.3
5101.7,2,2,load,0.0
5191.4,3,101,dump,222.2
5260.6,3,101,return,0.0
5502.6,1,101,dump,220.3
5503.7,2,2,haul,220.7
5503.7,4,2,load,0.0
5561.9,1,101,return,0.0
5814.0,4,2,haul,226.2
5814.0,5,2,load,0.0
5904.6,2,101,dump,220.7
5961.7,2,101,return,0.0
6080.5,3,2,load,0.0
6080.5,5,2,haul,230.7
6214.8,4,101,dump,226.2
6271.6,4,101,return,0.0
6410.9,1,2,load,0.0
6410.9,3,2,haul,224.9
6481.4,5,101,dump,230.7
6522.4,5,101,return,0.0
6732.7,1,2,haul,220.9
6732.7,2,2,load,0.0
6811.8,3,101,dump,224.9
6864.3,3,101,return,0.0
7034.3,2,2,haul,214.0
7034.3,4,2,load,0.0
7133.6,1,101,dump,220.9
7183.9,1,101,return,0.0
7390.8,4,2,haul,209.4
7390.8,5,2,load,0.0
7431.3,2,101,dump,214.0
7485.5,2,101,return,0.0
7787.8,4,101,dump,209.4
7790.8,3,2,load,0.0
7790.8,5,2,haul,219.7
7849.0,4,101,return,0.0
8158.6,1,2,load,0.0
8158.6,3,2,haul,214.0
8191.7,5,101,dump,219.7
8258.7,5,101,return,0.0
8480.6,1,2,haul,210.7
8480.6,2,2,load,0.0
8555.5,3,101,dump,214.0
8635.4,3,101,return,0.0
8877.6,1,101,dump,210.7
8889.9,2,2,haul,241.7
8889.9,4,2,load,0.0
8951.2,1,101,return,0.0
9218.2,4,2,haul,235.4
9218.2,5,2,load,0.0
9295.1,2,101,dump,241.7
9348.6,2,101,return,0.0
9576.3,3,2,load,0.0
9576.3,5,2,haul,238.3
9619.1,4,101,dump,235.4
9679.4,4,101,return,0.0
9922.2,1,2,load,0.0
9922.2,3,2,haul,234.4
9981.5,5,101,dump,238.3
10034.7,5,101,return,0.0
10323.0,3,101,dump,234.4
10356.2,1,2,haul,214.9
10356.2,2,2,load,0.0
10360.7,3,101,return,0.0
10758.3,2,2,haul,222.0
10758.3,4,2,load,0.0
10763.7,1,101,dump,214.9
10813.2,1,101,return,0.0
11081.9,4,2,haul,231.6
11081.9,5,2,load,0.0
11159.2,2,101,dump,222.0
11203.8,2,101,return,0.0
11482.7,4,101,dump,231.6
11509.4,3,2,load,0.0
11509.4,5,2,haul,221.2
11541.2,4,101,return,0.0
11797.9,1,2,load,0.0
11797.9,3,2,haul,235.5
11910.3,5,101,dump,221.2
11995.2,5,101,return,0.0
12152.3,1,2,haul,216.7
12152.3,2,2,load,0.0
12198.8,3,101,dump,235.5
12247.0,3,101,return,0.0
12465.9,2,2,haul,240.2
12465.9,4,2,load,0.0
12549.2,1,101,dump,216.7
12599.7,1,101,return,0.0
12851.4,4,2,haul,231.2
12851.4,5,2,load,0.0
12871.1,2,101,dump,240.2
12932.4,2,101,return,0.0
13252.3,4,101,dump,231.2
13268.8,3,2,load,0.0
13268.8,5,2,haul,215.6
13315.5,4,101,return,0.0
