t,truck_id,shovel_id,event,payload_t
0.0,10,4,load,0.0
1.6,29,5,load,0.0
2.3,33,3,load,0.0
2.8,37,1,load,0.0
11.7,6,6,load,0.0
12.4,32,2,load,0.0
114.4,25,1,load,0.0
114.4,37,1,haul,95.1
152.8,10,4,haul,91.5
152.8,22,4,load,0.0
165.0,8,2,load,0.0
165.0,32,2,haul,140.7
186.6,29,5,haul,142.1
186.6,35,5,load,0.0
244.8,1,1,load,0.0
244.8,25,1,haul,93.8
318.3,22,4,haul,92.5
318.3,46,4,load,0.0
330.1,6,6,haul,220.5
330.1,36,6,load,0.0
336.8,2,2,load,0.0
336.8,8,2,haul,130.3
379.1,1,1,haul,93.0
379.1,13,1,load,0.0
413.4,21,3,load,0.0
413.4,33,3,haul,231.5
441.7,17,5,load,0.0
441.7,35,5,haul,152.1
447.7,28,4,load,0.0
447.7,46,4,haul,105.2
501.4,2,2,haul,137.1
501.4,38,2,load,0.0
513.1,7,1,load,0.0
513.1,13,1,haul,105.5
565.3,28,4,haul,95.8
565.3,34,4,load,0.0
629.1,26,2,load,0.0
629.1,38,2,haul,135.8
638.2,7,1,haul,95.1
638.2,31,1,load,0.0
681.2,37,101,dump,95.1
682.9,12,6,load,0.0
682.9,36,6,haul,226.2
687.2,16,4,load,0.0
687.2,34,4,haul,99.7
695.6,11,5,load,0.0
695.6,17,5,haul,138.6
724.6,21,3,haul,220.9
724.6,45,3,load,0.0
727.1,37,101,return,0.0
773.4,31,1,haul,92.1
773.4,43,1,load,0.0
773.5,20,2,load,0.0
773.5,26,2,haul,128.8
806.3,25,101,dump,93.8
826.6,4,4,load,0.0
826.6,16,4,haul,94.7
861.8,25,101,return,0.0
897.8,19,1,load,0.0
897.8,43,1,haul,92.1
899.0,11,5,haul,129.6
899.0,41,5,load,0.0
927.1,10,101,dump,91.5
945.1,14,2,load,0.0
945.1,20,2,haul,149.3
957.6,4,4,haul,101.8
957.6,40,4,load,0.0
980.4,1,101,dump,93.0
980.4,10,101,return,0.0
1041.5,1,101,return,0.0
1041.5,6,101,dump,220.5
1062.2,19,1,haul,103.2
1082.9,12,6,haul,234.4
1082.9,18,6,load,0.0
1090.7,6,101,return,0.0
1090.7,29,101,dump,142.1
1100.0,14,2,haul,132.3
1100.0,44,2,load,0.0
1119.6,40,4,haul,95.7
1133.9,27,3,load,0.0
1133.9,45,3,haul,231.6
1152.9,23,5,load,0.0
1152.9,41,5,haul,136.3
1158.0,13,101,dump,105.5
1158.0,29,101,return,0.0
1212.6,13,101,return,0.0
1212.6,22,101,dump,92.5
1267.8,22,101,return,0.0
1267.8,33,101,dump,231.5
1269.7,44,2,haul,145.4
1324.4,32,101,dump,140.7
1324.4,33,101,return,0.0
1371.4,18,6,haul,216.7
1371.4,42,6,load,0.0
1375.0,37,1,load,0.0
1376.6,7,101,dump,95.1
1376.6,32,101,return,0.0
1396.4,5,5,load,0.0
1396.4,23,5,haul,148.4
1418.6,7,101,return,0.0
1418.6,46,101,dump,105.2
1447.5,9,3,load,0.0
1447.5,27,3,haul,231.2
1478.3,35,101,dump,152.1
1478.3,46,101,return,0.0
1498.7,37,1,haul,92.8
1501.1,25,1,load,0.0
1541.3,35,101,return,0.0
1541.3,36,101,dump,226.2
1599.9,31,101,dump,92.1
1599.9,36,101,return,0.0
1669.1,8,101,dump,130.3
1669.1,31,101,return,0.0
1714.7,10,1,load,0.0
1714.7,25,1,haul,94.9
1728.5,8,101,return,0.0
