t,truck_id,shovel_id,event,payload_t
0.0,10,4,load,0.0
4.9,21,3,load,0.0
9.1,17,5,load,0.0
11.7,6,6,load,0.0
15.2,8,2,load,0.0
24.6,25,1,load,0.0
135.9,9,3,load,0.0
135.9,21,3,haul,95.1
164.9,11,5,load,0.0
164.9,17,5,haul,91.5
167.2,1,1,load,0.0
167.2,25,1,haul,98.5
211.6,6,6,haul,230.4
211.6,12,6,load,0.0
289.9,9,3,haul,93.8
289.9,15,3,load,0.0
327.6,1,1,haul,92.5
327.6,13,1,load,0.0
330.4,11,5,haul,95.0
330.4,23,5,load,0.0
333.6,2,2,load,0.0
333.6,8,2,haul,211.8
403.2,10,4,haul,215.9
403.2,22,4,load,0.0
448.5,3,3,load,0.0
448.5,15,3,haul,100.1
464.1,5,5,load,0.0
464.1,23,5,haul,106.7
480.4,7,1,load,0.0
480.4,13,1,haul,105.2
485.7,12,6,haul,222.4
485.7,18,6,load,0.0
587.7,3,3,haul,105.5
616.5,5,5,haul,95.8
619.2,7,1,haul,95.0
619.2,19,1,load,0.0
650.8,17,101,dump,91.5
666.7,18,6,haul,220.7
666.7,24,6,load,0.0
677.3,2,2,haul,226.2
677.3,20,2,load,0.0
696.8,17,101,return,0.0
709.7,25,101,dump,98.5
756.6,16,4,load,0.0
756.6,22,4,haul,230.7
765.2,25,101,return,0.0
767.0,19,1,haul,97.0
767.6,6,101,dump,230.4
820.8,6,101,return,0.0
837.2,11,101,dump,95.0
885.2,24,6,haul,220.9
898.4,10,101,dump,215.9
898.4,11,101,return,0.0
947.5,1,101,dump,92.5
947.5,10,101,return,0.0
978.9,14,2,load,0.0
978.9,20,2,haul,214.0
1014.9,1,101,return,0.0
1014.9,21,101,dump,95.1
1069.4,8,101,dump,211.8
1069.4,21,101,return,0.0
1113.2,4,4,load,0.0
1113.2,16,4,haul,209.4
1124.6,8,101,return,0.0
1124.6,23,101,dump,106.7
1181.3,9,101,dump,93.8
1181.3,23,101,return,0.0
1233.5,9,101,return,0.0
1233.5,13,101,dump,105.2
1275.5,12,101,dump,222.4
1275.5,13,101,return,0.0
1335.2,12,101,return,0.0
1335.2,22,101,dump,230.7
1378.9,14,2,haul,219.7
1398.2,5,101,dump,95.8
1398.2,22,101,return,0.0
1456.7,5,101,return,0.0
1456.7,7,101,dump,95.0
1480.9,4,4,haul,214.0
1525.9,7,101,return,0.0
1525.9,15,101,dump,100.1
1585.3,15,101,return,0.0
1585.3,18,101,dump,220.7
1642.5,18,101,return,0.0
1642.5,19,101,dump,97.0
1669.5,17,5,load,0.0
1699.2,2,101,dump,226.2
1699.2,19,101,return,0.0
1740.2,2,101,return,0.0
1740.2,3,101,dump,105.5
1777.0,25,1,load,0.0
1791.5,10,5,load,0.0
1791.5,17,5,haul,90.6
1792.7,3,101,return,0.0
1792.7,24,101,dump,220.9
1794.2,21,4,load,0.0
1814.5,6,6,load,0.0
1843.0,16,101,dump,209.4
1843.0,24,101,return,0.0
1852.2,1,2,load,0.0
1897.3,16,101,return,0.0
1897.3,20,101,dump,214.0
1914.7,11,3,load,0.0
1954.4,8,4,load,0.0
1954.4,21,4,haul,104.7
1958.5,20,101,return,0.0
1960.1,9,1,load,0.0
1960.1,25,1,haul,101.8
2014.4,10,5,haul,238.3
2014.4,22,5,load,0.0
2046.4,1,2,haul,101.4
2046.4,23,2,load,0.0
2049.3,6,6,haul,214.9
2049.3,13,6,load,0.0
2094.5,11,3,haul,95.7
2094.5,12,3,load,0.0
2151.4,9,1,haul,100.1
2151.4,15,1,load,0.0
2161.3,4,101,dump,214.0
2168.2,13,6,haul,95.4
2168.2,18,6,load,0.0
2204.9,7,2,load,0.0
2204.9,23,2,haul,101.9
2210.3,19,5,load,0.0
2210.3,22,5,haul,216.7
2228.3,4,101,return,0.0
2228.3,14,101,dump,219.7
2278.0,5,4,load,0.0
2278.0,8,4,haul,240.2
2308.2,14,101,return,0.0
2311.9,17,101,dump,90.6
2338.1,15,1,haul,99.9
2349.4,3,5,load,0.0
2349.4,19,5,haul,92.8
2385.4,17,101,return,0.0
2389.9,18,6,haul,220.1
2422.0,21,101,dump,104.7
2441.4,7,2,haul,94.2
2475.5,21,101,return,0.0
2480.1,2,3,load,0.0
2480.1,12,3,haul,214.8
2481.0,16,2,load,0.0
2493.2,25,101,dump,101.8
2495.0,3,5,haul,93.0
2530.2,5,4,haul,96.6
2530.2,24,4,load,0.0
2553.6,10,101,dump,238.3
2553.6,25,101,return,0.0
2606.8,10,101,return,0.0
2608.1,6,101,dump,214.9
2645.8,6,101,return,0.0
2680.9,9,101,dump,100.1
2730.4,8,101,dump,240.2
2730.4,9,101,return,0.0
2775.1,8,101,return,0.0
2781.1,2,3,haul,235.6
2786.1,16,2,haul,222.6
2788.5,1,101,dump,101.4
2846.9,1,101,return,0.0
2846.9,22,101,dump,216.7
2889.3,20,4,load,0.0
2889.3,24,4,haul,223.0
2931.8,13,101,dump,95.4
2931.8,22,101,return,0.0
2980.0,11,101,dump,95.7
2980.0,13,101,return,0.0
3030.5,11,101,return,0.0
3030.5,19,101,dump,92.8
3091.8,15,101,dump,99.9
3091.8,19,101,return,0.0
3155.0,5,101,dump,96.6
3155.0,15,101,return,0.0
3220.2,5,101,return,0.0
3220.2,23,101,dump,101.9
3270.1,18,101,dump,220.1
3270.1,23,101,return,0.0
3317.9,3,101,dump,93.0
3317.9,18,101,return,0.0
3351.3,20,4,haul,217.5
3371.7,3,101,return,0.0
3371.7,7,101,dump,94.2
3373.7,4,1,load,0.0
3377.0,17,5,load,0.0
3422.1,14,6,load,0.0
3427.7,7,101,return,0.0
3427.7,12,101,dump,214.8
3486.3,6,4,load,0.0
3491.9,25,2,load,0.0
3493.0,12,101,return,0.0
3493.0,24,101,dump,223.0
3496.5,17,5,haul,98.4
3496.5,21,5,load,0.0
3540.5,16,101,dump,222.6
3540.5,24,101,return,0.0
3595.4,9,2,load,0.0
3595.4,25,2,haul,102.6
3607.1,2,101,dump,235.6
3607.1,16,101,return,0.0
3611.8,10,3,load,0.0
3611.9,11,5,load,0.0
3611.9,21,5,haul,101.3
3653.0,2,101,return,0.0
3693.5,1,6,load,0.0
3693.5,14,6,haul,213.8
3757.9,4,1,haul,217.2
3757.9,8,1,load,0.0
3764.3,3,5,load,0.0
3764.3,11,5,haul,99.2
3773.0,9,2,haul,94.7
3773.0,15,2,load,0.0
3832.6,1,6,haul,103.1
3832.6,23,6,load,0.0
3909.6,20,101,dump,217.5
3914.5,3,5,haul,96.2
3936.3,10,3,haul,229.4
3936.3,13,3,load,0.0
3954.7,20,101,return,0.0
3962.1,15,2,haul,94.8
3972.8,23,6,haul,91.5
3976.5,24,5,load,0.0
3980.4,6,4,haul,213.6
3980.4,22,4,load,0.0
4028.6,5,1,load,0.0
4028.6,8,1,haul,248.1
4033.5,17,101,dump,98.4
4081.3,17,101,return,0.0
4110.4,13,3,haul,93.1
4110.4,18,3,load,0.0
4150.9,21,101,dump,101.3
4184.7,5,1,haul,98.0
4184.7,7,1,load,0.0
4214.4,21,101,return,0.0
4241.8,25,101,dump,102.6
4282.0,24,5,haul,229.1
4306.8,11,101,dump,99.2
4306.8,25,101,return,0.0
4341.3,7,1,haul,90.9
4344.8,19,4,load,0.0
4344.8,22,4,haul,226.1
4360.8,4,101,dump,217.2
4360.8,11,101,return,0.0
4412.7,4,101,return,0.0
4412.7,14,101,dump,213.8
4459.9,9,101,dump,94.7
4459.9,14,101,return,0.0
4479.7,18,3,haul,232.7
4483.1,12,4,load,0.0
4483.1,19,4,haul,96.8
4503.7,6,101,dump,213.6
4503.7,9,101,return,0.0
4546.4,3,101,dump,96.2
4546.4,6,101,return,0.0
4598.6,1,101,dump,103.1
4598.6,3,101,return,0.0
4654.6,1,101,return,0.0
4654.6,8,101,dump,248.1
4659.4,2,5,load,0.0
4689.9,16,2,load,0.0
4714.8,8,101,return,0.0
4714.8,23,101,dump,91.5
4785.3,12,4,haul,228.6
4795.4,15,101,dump,94.8
4795.4,23,101,return,0.0
4845.8,10,101,dump,229.4
4845.8,15,101,return,0.0
4913.8,5,101,dump,98.0
4913.8,10,101,return,0.0
4969.3,5,101,return,0.0
4969.3,22,101,dump,226.1
5010.2,2,5,haul,221.8
5036.8,22,101,return,0.0
5036.8,24,101,dump,229.1
5072.1,17,5,load,0.0
5075.6,16,2,haul,212.9
5081.3,11,4,load,0.0
5085.0,20,6,load,0.0
5104.8,21,1,load,0.0
5108.8,13,101,dump,93.1
5108.8,24,101,return,0.0
5165.8,7,101,dump,90.9
5165.8,13,101,return,0.0
5219.5,7,101,return,0.0
5219.5,19,101,dump,96.8
5220.2,4,2,load,0.0
5223.4,25,3,load,0.0
5237.5,17,5,haul,102.7
5247.9,9,4,load,0.0
5247.9,11,4,haul,96.1
5282.0,18,101,dump,232.7
5282.0,19,101,return,0.0
5296.9,14,1,load,0.0
5296.9,21,1,haul,101.5
5299.4,1,5,load,0.0
5342.0,12,101,dump,228.6
5342.0,18,101,return,0.0
5353.8,6,6,load,0.0
5353.8,20,6,haul,221.1
5365.8,25,3,haul,102.0
5416.5,12,101,return,0.0
5423.3,1,5,haul,93.8
5423.3,23,5,load,0.0
5428.7,3,3,load,0.0
5446.5,9,4,haul,89.7
5446.5,15,4,load,0.0
5547.0,4,2,haul,250.2
5547.0,8,2,load,0.0
5577.3,6,6,haul,241.4
5577.3,22,6,load,0.0
5578.8,2,101,dump,221.8
5592.4,23,5,haul,91.5
5592.4,24,5,load,0.0
5621.4,13,4,load,0.0
5621.4,15,4,haul,107.8
5636.3,3,3,haul,100.0
5645.9,2,101,return,0.0
5671.5,5,1,load,0.0
5671.5,14,1,haul,239.2
5694.9,11,101,dump,96.1
5750.8,11,101,return,0.0
5750.8,16,101,dump,212.9
5770.7,13,4,haul,96.0
5801.5,16,101,return,0.0
5827.3,24,5,haul,212.7
5827.8,17,101,dump,102.7
5850.7,5,1,haul,94.3
5850.7,7,1,load,0.0
5868.0,17,101,return,0.0
5872.0,21,101,dump,101.5
5890.3,22,6,haul,229.4
5927.0,9,101,dump,89.7
5927.0,21,101,return,0.0
5969.6,8,2,haul,228.7
5969.6,10,2,load,0.0
5979.6,1,101,dump,93.8
5979.6,9,101,return,0.0
6024.9,7,1,haul,98.3
6035.9,1,101,return,0.0
6035.9,20,101,dump,221.1
6086.9,15,101,dump,107.8
6086.9,20,101,return,0.0
6138.2,15,101,return,0.0
6138.2,25,101,dump,102.0
6175.8,18,5,load,0.0
6184.1,23,101,dump,91.5
6184.1,25,101,return,0.0
6185.1,19,3,load,0.0
6246.4,4,101,dump,250.2
6246.4,23,101,return,0.0
6289.0,4,101,return,0.0
6306.9,12,6,load,0.0
6330.3,13,101,dump,96.0
6356.3,10,2,haul,231.4
6366.3,19,3,haul,96.5
6385.0,18,5,haul,204.7
6386.3,13,101,return,0.0
6386.3,14,101,dump,239.2
6423.8,6,101,dump,241.4
6423.8,14,101,return,0.0
6473.3,6,101,return,0.0
6473.3,24,101,dump,212.7
6516.3,3,101,dump,100.0
6516.3,24,101,return,0.0
6576.1,3,101,return,0.0
6576.1,5,101,dump,94.3
6591.4,12,6,haul,217.7
6593.6,2,4,load,0.0
6626.6,5,101,return,0.0
6626.6,22,101,dump,229.4
6639.6,11,5,load,0.0
6673.7,7,101,dump,98.3
6673.7,22,101,return,0.0
6729.2,7,101,return,0.0
6729.2,8,101,dump,228.7
6747.1,17,1,load,0.0
6750.6,11,5,haul,99.6
6783.9,8,101,return,0.0
6787.8,21,2,load,0.0
6852.5,20,6,load,0.0
6854.4,1,1,load,0.0
6854.4,17,1,haul,102.1
6870.2,25,5,load,0.0
6934.1,9,2,load,0.0
6934.1,21,2,haul,90.8
7000.4,15,3,load,0.0
7012.9,2,4,haul,231.0
7012.9,16,4,load,0.0
7034.8,4,5,load,0.0
7034.8,25,5,haul,106.8
7057.5,1,1,haul,95.5
7081.8,18,101,dump,204.7
7086.7,13,6,load,0.0
7086.7,20,6,haul,238.3
7109.5,24,1,load,0.0
7117.4,6,2,load,0.0
7117.4,9,2,haul,90.5
7126.1,15,3,haul,94.9
7126.1,23,3,load,0.0
7132.6,18,101,return,0.0
7146.8,10,101,dump,231.4
7203.2,10,101,return,0.0
7203.2,19,101,dump,96.5
7258.6,12,101,dump,217.7
7258.6,19,101,return,0.0
7274.2,3,6,load,0.0
7274.2,13,6,haul,103.6
7277.6,23,3,haul,97.8
7310.0,4,5,haul,201.9
7310.0,22,5,load,0.0
7315.9,11,101,dump,99.6
7315.9,12,101,return,0.0
7368.1,11,101,return,0.0
7390.1,3,6,haul,92.4
7392.3,14,4,load,0.0
7392.3,16,4,haul,224.7
7397.1,17,101,dump,102.1
7444.2,7,3,load,0.0
7455.2,17,101,return,0.0
7460.2,2,101,dump,231.0
7486.6,8,1,load,0.0
7486.6,24,1,haul,230.4
7510.6,2,101,return,0.0
7532.0,22,5,haul,212.9
7554.9,6,2,haul,210.1
7591.7,25,101,dump,106.8
7614.1,7,3,haul,94.8
7647.4,21,101,dump,90.8
7647.4,25,101,return,0.0
7662.0,18,2,load,0.0
7703.1,10,5,load,0.0
7707.4,1,101,dump,95.5
7707.4,21,101,return,0.0
7760.1,1,101,return,0.0
7760.1,20,101,dump,238.3
7763.9,5,4,load,0.0
7763.9,14,4,haul,224.1
7817.5,9,101,dump,90.5
7817.5,20,101,return,0.0
7875.9,10,5,haul,220.6
7887.0,4,101,dump,201.9
7887.0,9,101,return,0.0
7892.3,8,1,haul,242.5
7935.9,4,101,return,0.0
7935.9,16,101,dump,224.7
7944.5,5,4,haul,91.0
7988.2,15,101,dump,94.9
7988.2,16,101,return,0.0
8036.8,13,101,dump,103.6
8036.8,15,101,return,0.0
8056.0,18,2,haul,228.4
8084.3,3,101,dump,92.4
8084.3,13,101,return,0.0
8146.3,3,101,return,0.0
8146.3,24,101,dump,230.4
8207.7,23,101,dump,97.8
8207.7,24,101,return,0.0
8264.1,22,101,dump,212.9
8264.1,23,101,return,0.0
8313.0,6,101,dump,210.1
8313.0,22,101,return,0.0
8339.3,11,5,load,0.0
8353.9,19,2,load,0.0
8374.6,6,101,return,0.0
8374.6,14,101,dump,224.1
8392.6,12,6,load,0.0
8429.7,7,101,dump,94.8
8429.7,14,101,return,0.0
8464.4,25,4,load,0.0
8484.5,7,101,return,0.0
8484.5,10,101,dump,220.6
8484.5,11,5,haul,91.7
8484.5,21,5,load,0.0
8496.6,2,1,load,0.0
8526.8,19,2,haul,93.4
8532.6,5,101,dump,91.0
8532.6,10,101,return,0.0
8566.4,1,2,load,0.0
8576.9,17,3,load,0.0
8583.0,5,101,return,0.0
8583.0,8,101,dump,242.5
8626.2,20,4,load,0.0
8626.2,25,4,haul,89.2
8628.1,4,6,load,0.0
8628.1,12,6,haul,214.5
8628.1,15,5,load,0.0
8628.1,21,5,haul,102.5
8642.6,8,101,return,0.0
8740.7,1,2,haul,104.7
8740.7,3,2,load,0.0
8767.3,6,5,load,0.0
8767.3,15,5,haul,96.1
8785.6,16,3,load,0.0
8785.6,17,3,haul,95.2
8894.2,3,2,haul,103.6
8894.2,14,2,load,0.0
8904.0,18,101,dump,228.4
8905.6,4,6,haul,238.1
8905.6,23,6,load,0.0
8918.6,13,4,load,0.0
8918.6,20,4,haul,242.9
8937.0,2,1,haul,212.4
8937.0,9,1,load,0.0
8951.2,18,101,return,0.0
9007.3,11,101,dump,91.7
9015.2,6,5,haul,220.0
9041.1,23,6,haul,105.8
9077.1,10,5,load,0.0
9081.1,11,101,return,0.0
9081.1,25,101,dump,89.2
9090.5,9,1,haul,98.8
9090.5,24,1,load,0.0
9138.1,25,101,return,0.0
9154.8,21,101,dump,102.5
9158.7,7,4,load,0.0
9158.7,13,4,haul,92.4
9188.8,14,2,haul,229.8
9191.6,5,2,load,0.0
9204.9,16,3,haul,240.9
9204.9,22,3,load,0.0
9222.1,19,101,dump,93.4
9222.1,21,101,return,0.0
9255.7,10,5,haul,225.1
9270.5,12,101,dump,214.5
9270.5,19,101,return,0.0
9282.3,8,6,load,0.0
9319.3,12,101,return,0.0
9319.3,15,101,dump,96.1
9342.0,7,4,haul,102.4
9370.3,15,101,return,0.0
9370.3,20,101,dump,242.9
9374.9,5,2,haul,96.6
9431.6,1,101,dump,104.7
9431.6,20,101,return,0.0
9444.2,24,1,haul,232.3
9490.4,1,101,return,0.0
9490.4,2,101,dump,212.4
9545.0,2,101,return,0.0
9545.0,17,101,dump,95.2
9578.8,18,5,load,0.0
9599.1,22,3,haul,225.8
9599.4,8,6,haul,218.9
9599.4,6,101,dump,220.0
9599.4,17,101,return,0.0
9686.9,4,101,dump,238.1
9686.9,6,101,return,0.0
9742.5,4,101,return,0.0
9742.5,13,101,dump,92.4
9797.0,18,5,haul,221.0
9810.0,3,101,dump,103.6
9810.0,13,101,return,0.0
9872.2,3,101,return,0.0
9872.2,9,101,dump,98.8
9931.7,9,101,return,0.0
9931.7,23,101,dump,105.8
9980.5,10,101,dump,225.1
9980.5,23,101,return,0.0
10042.2,7,101,dump,102.4
10042.2,10,101,return,0.0
10078.4,21,4,load,0.0
10087.4,11,5,load,0.0
10094.5,7,101,return,0.0
10094.5,14,101,dump,229.8
10146.5,14,101,return,0.0
10146.5,16,101,dump,240.9
10152.4,25,1,load,0.0
10170.2,19,2,load,0.0
10198.1,16,101,return,0.0
10198.1,24,101,dump,232.3
10225.4,11,5,haul,100.2
10245.5,20,4,load,0.0
10245.5,21,4,haul,91.3
10252.3,12,6,load,0.0
10277.8,5,101,dump,96.6
10277.8,24,101,return,0.0
10311.2,25,1,haul,113.9
10328.3,17,5,load,0.0
10329.6,5,101,return,0.0
10329.6,8,101,dump,218.9
10330.0,1,2,load,0.0
10330.0,19,2,haul,92.4
10352.5,15,3,load,0.0
10355.0,2,1,load,0.0
10390.7,8,101,return,0.0
10390.7,22,101,dump,225.8
10445.2,18,101,dump,221.0
10445.2,22,101,return,0.0
10453.9,6,6,load,0.0
10453.9,12,6,haul,241.8
10488.7,18,101,return,0.0
10494.8,15,3,haul,96.1
10508.9,13,5,load,0.0
10508.9,17,5,haul,100.2
10513.1,1,2,haul,104.6
10543.9,4,3,load,0.0
10552.6,9,2,load,0.0
10587.2,3,4,load,0.0
10587.2,20,4,haul,207.1
10701.7,9,2,haul,98.4
10725.3,7,5,load,0.0
10725.3,13,5,haul,101.2
10728.1,21,101,dump,91.3
10734.0,3,4,haul,108.2
10734.0,14,4,load,0.0
10743.9,2,1,haul,234.3
10743.9,23,1,load,0.0
10750.1,6,6,haul,235.2
10750.1,10,6,load,0.0
10781.7,21,101,return,0.0
10806.9,11,101,dump,100.2
10818.3,16,2,load,0.0
10830.0,5,5,load,0.0
10830.0,7,5,haul,85.0
10857.1,11,101,return,0.0
10882.0,25,101,dump,113.9
10894.8,8,1,load,0.0
10894.8,23,1,haul,94.1
10931.4,4,3,haul,213.5
10939.5,19,101,dump,92.4
10939.5,25,101,return,0.0
10951.2,5,5,haul,109.4
10985.1,19,101,return,0.0
11004.9,14,4,haul,223.5
11004.9,24,4,load,0.0
11017.1,10,6,haul,242.9
11041.9,17,101,dump,100.2
11083.8,17,101,return,0.0
11083.8,20,101,dump,207.1
11138.8,20,101,return,0.0
11139.9,12,101,dump,241.8
11192.5,1,101,dump,104.6
11192.5,12,101,return,0.0
11224.1,16,2,haul,216.8
11230.2,1,101,return,0.0
11236.6,3,101,dump,108.2
11247.6,8,1,haul,224.9
11292.7,3,101,return,0.0
11292.7,15,101,dump,96.1
11344.0,13,101,dump,101.2
11344.0,15,101,return,0.0
11398.0,18,6,load,0.0
11408.5,2,101,dump,234.3
11408.5,13,101,return,0.0
11449.1,22,3,load,0.0
11456.3,2,101,return,0.0
11484.8,9,101,dump,98.4
11497.3,24,4,haul,229.0
11540.0,7,101,dump,85.0
11540.0,9,101,return,0.0
11593.2,6,101,dump,235.2
11593.2,7,101,return,0.0
11642.7,6,101,return,0.0
11642.7,14,101,dump,223.5
11705.6,14,101,return,0.0
11705.6,23,101,dump,94.1
11767.4,18,6,haul,214.7
11772.3,5,101,dump,109.4
11772.3,23,101,return,0.0
11794.8,21,5,load,0.0
11816.2,5,101,return,0.0
11816.2,10,101,dump,242.9
11858.4,11,2,load,0.0
11869.5,22,3,haul,214.8
11875.7,4,101,dump,213.5
11875.7,10,101,return,0.0
11879.9,25,1,load,0.0
11904.9,17,4,load,0.0
11916.4,19,5,load,0.0
11916.4,21,5,haul,100.1
11938.2,4,101,return,0.0
11938.2,8,101,dump,224.9
12007.9,8,101,return,0.0
12007.9,16,101,dump,216.8
12032.1,1,1,load,0.0
12032.1,25,1,haul,97.0
12040.2,11,2,haul,98.5
12040.2,12,2,load,0.0
12056.7,16,101,return,0.0
12056.7,24,101,dump,229.0
12062.8,17,4,haul,102.9
12062.8,20,4,load,0.0
12073.6,3,6,load,0.0
12080.4,9,5,load,0.0
12080.4,19,5,haul,107.5
12119.8,24,101,return,0.0
12178.1,15,3,load,0.0
12193.3,3,6,haul,103.1
12193.3,13,6,load,0.0
12205.4,1,1,haul,100.2
