t,truck_id,shovel_id,event,payload_t
0.0,10,1,load,0.0
108.6,10,1,haul,61.0
534.9,17,1,load,0.0
599.1,17,1,haul,46.1
896.1,10,101,dump,61.0
942.1,10,101,return,0.0
1223.4,6,1,load,0.0
1333.4,6,1,haul,63.3
1402.3,17,101,dump,46.1
1457.8,17,101,return,0.0
2128.8,8,1,load,0.0
2159.2,6,101,dump,63.3
2212.5,6,101,return,0.0
2216.8,8,1,haul,64.1
2847.0,11,1,load,0.0
2914.8,11,1,haul,47.5
3042.6,8,101,dump,64.1
3103.7,8,101,return,0.0
3601.8,2,1,load,0.0
3694.6,2,1,haul,59.2
3716.5,11,101,dump,47.5
3765.7,11,101,return,0.0
4347.9,16,1,load,0.0
4445.6,16,1,haul,60.9
4482.2,2,101,dump,59.2
4549.5,2,101,return,0.0
5064.4,4,1,load,0.0
5178.9,4,1,haul,58.1
5233.2,16,101,dump,60.9
5287.8,16,101,return,0.0
5588.7,1,1,load,0.0
5662.1,1,1,haul,47.0
5966.5,4,101,dump,58.1
6021.6,4,101,return,0.0
6335.9,5,1,load,0.0
6415.3,5,1,haul,51.2
6481.8,1,101,dump,47.0
6538.5,1,101,return,0.0
7066.9,13,1,load,0.0
7139.7,13,1,haul,55.2
7257.5,5,101,dump,51.2
7309.7,5,101,return,0.0
7796.8,9,1,load,0.0
7867.9,9,1,haul,54.3
8027.1,13,101,dump,55.2
8069.1,13,101,return,0.0
8676.9,12,1,load,0.0
8766.2,9,101,dump,54.3
8776.3,12,1,haul,61.5
8825.8,9,101,return,0.0
9581.6,18,1,load,0.0
9602.6,12,101,dump,61.5
9665.6,12,101,return,0.0
9679.2,18,1,haul,68.2
10130.3,7,1,load,0.0
10202.9,7,1,haul,48.7
10547.5,18,101,dump,68.2
10606.0,18,101,return,0.0
11002.2,14,1,load,0.0
11004.6,7,101,dump,48.7
11073.9,7,101,return,0.0
11093.5,14,1,haul,60.9
11545.5,15,1,load,0.0
11624.7,15,1,haul,48.3
11881.1,14,101,dump,60.9
11940.5,14,101,return,0.0
12270.0,3,1,load,0.0
12336.6,3,1,haul,49.8
12426.4,15,101,dump,48.3
12483.6,15,101,return,0.0
12945.2,10,1,load,0.0
13027.6,10,1,haul,64.2
13178.8,3,101,dump,49.8
13235.6,3,101,return,0.0
13647.0,17,1,load,0.0
13716.5,17,1,haul,49.4
13853.4,10,101,dump,64.2
13894.4,10,101,return,0.0
14341.4,6,1,load,0.0
14434.8,6,1,haul,61.1
14566.2,17,101,dump,49.4
14618.6,17,101,return,0.0
15040.9,8,1,load,0.0
15130.3,8,1,haul,58.9
15222.4,6,101,dump,61.1
15272.7,6,101,return,0.0
15614.1,11,1,load,0.0
15687.2,11,1,haul,45.2
15917.9,8,101,dump,58.9
15972.2,8,101,return,0.0
16470.0,2,1,load,0.0
16509.7,11,101,dump,45.2
16570.9,11,101,return,0.0
16578.0,2,1,haul,60.7
17222.6,16,1,load,0.0
17324.7,16,1,haul,58.9
17365.5,2,101,dump,60.7
17432.5,2,101,return,0.0
17938.2,4,1,load,0.0
18031.7,4,1,haul,57.8
18112.3,16,101,dump,58.9
18192.2,16,101,return,0.0
18672.4,1,1,load,0.0
18752.5,1,1,haul,54.0
18833.4,4,101,dump,57.8
18906.9,4,101,return,0.0
19370.4,5,1,load,0.0
19439.5,5,1,haul,52.3
19594.7,1,101,dump,54.0
19648.3,1,101,return,0.0
19913.5,13,1,load,0.0
19986.8,13,1,haul,53.1
20281.7,5,101,dump,52.3
20342.1,5,101,return,0.0
20690.6,9,1,load,0.0
20762.2,9,1,haul,52.0
20829.0,13,101,dump,53.1
20882.3,13,101,return,0.0
21369.3,12,1,load,0.0
21483.3,12,1,haul,59.1
21604.4,9,101,dump,52.0
21642.1,9,101,return,0.0
22241.4,18,1,load,0.0
22283.3,12,101,dump,59.1
22332.8,12,101,return,0.0
22349.8,18,1,haul,61.4
22806.0,7,1,load,0.0
22874.5,7,1,haul,51.3
23175.6,18,101,dump,61.4
23220.2,18,101,return,0.0
23515.8,14,1,load,0.0
23628.7,14,1,haul,61.1
23716.7,7,101,dump,51.3
23775.2,7,101,return,0.0
24258.9,15,1,load,0.0
24322.4,15,1,haul,52.3
24416.4,14,101,dump,61.1
24501.3,14,101,return,0.0
24960.0,3,1,load,0.0
25032.8,3,1,haul,47.2
25173.1,15,101,dump,52.3
25221.2,15,101,return,0.0
25816.4,10,1,load,0.0
25834.5,3,101,dump,47.2
25885.0,3,101,return,0.0
25908.3,10,1,haul,67.2
26356.9,17,1,load,0.0
26433.9,17,1,haul,51.1
26734.0,10,101,dump,67.2
26795.4,10,101,return,0.0
27072.9,6,1,load,0.0
27184.0,6,1,haul,59.4
27276.1,17,101,dump,51.1
27339.3,17,101,return,0.0
27895.1,8,1,load,0.0
