t,truck_id,shovel_id,event,payload_t
0.0,10,5,load,0.0
9.1,17,2,load,0.0
11.7,6,1,load,0.0
15.2,8,3,load,0.0
19.8,4,4,load,0.0
324.7,8,3,haul,61.0
324.7,13,3,load,0.0
364.9,4,4,haul,58.4
364.9,9,4,load,0.0
406.2,2,2,load,0.0
406.2,17,2,haul,63.3
503.8,6,1,haul,64.1
503.8,11,1,load,0.0
619.0,5,5,load,0.0
619.0,10,5,haul,60.1
670.2,13,3,haul,59.2
670.2,18,3,load,0.0
749.3,9,4,haul,60.9
749.3,14,4,load,0.0
910.7,11,1,haul,58.1
910.7,16,1,load,0.0
1034.2,6,101,dump,64.1
1070.7,3,3,load,0.0
1070.7,18,3,haul,59.5
1080.2,6,101,return,0.0
1080.8,17,101,dump,63.3
1097.7,2,2,haul,64.4
1097.7,12,2,load,0.0
1129.6,14,4,haul,69.1
1129.6,19,4,load,0.0
1136.3,8,101,dump,61.0
1136.3,17,101,return,0.0
1189.6,8,101,return,0.0
1239.1,5,5,haul,68.1
1239.1,20,5,load,0.0
1308.6,1,1,load,0.0
1308.6,16,1,haul,61.5
1342.3,4,101,dump,58.4
1403.4,4,101,return,0.0
1428.1,11,101,dump,58.1
1454.5,3,3,haul,68.2
1463.8,19,4,haul,61.5
1477.3,11,101,return,0.0
1477.3,13,101,dump,59.2
1544.6,13,101,return,0.0
1613.0,7,2,load,0.0
1613.0,12,2,haul,60.9
1641.5,1,1,haul,61.0
1739.4,9,101,dump,60.9
1747.3,6,3,load,0.0
1763.9,8,1,load,0.0
1794.0,2,101,dump,64.4
1794.0,9,101,return,0.0
1849.1,2,101,return,0.0
1849.1,10,101,dump,60.1
1855.5,15,5,load,0.0
1855.5,20,5,haul,62.7
1905.8,10,101,return,0.0
1905.8,16,101,dump,61.5
1958.0,16,101,return,0.0
1958.0,18,101,dump,59.5
1961.3,7,2,haul,64.2
2000.0,18,101,return,0.0
2042.2,17,4,load,0.0
2042.8,11,2,load,0.0
2110.5,6,3,haul,62.3
2114.0,4,1,load,0.0
2114.0,8,1,haul,61.1
2205.2,13,3,load,0.0
2206.7,14,101,dump,69.1
2266.4,1,101,dump,61.0
2266.4,14,101,return,0.0
2269.1,15,5,haul,58.9
2329.4,1,101,return,0.0
2331.1,12,101,dump,60.9
2389.6,3,101,dump,68.2
2389.6,12,101,return,0.0
2446.0,17,4,haul,57.4
2458.9,3,101,return,0.0
2487.4,5,101,dump,68.1
2535.5,4,1,haul,60.7
2535.5,9,1,load,0.0
2546.7,5,101,return,0.0
2555.8,13,3,haul,58.9
2567.9,16,3,load,0.0
2574.5,19,101,dump,61.5
2631.6,19,101,return,0.0
2654.9,2,2,load,0.0
2654.9,11,2,haul,57.8
2662.7,7,101,dump,64.2
2719.4,7,101,return,0.0
2719.4,8,101,dump,61.1
2721.1,18,4,load,0.0
2760.4,8,101,return,0.0
2762.8,10,5,load,0.0
2927.9,16,3,haul,67.7
2963.9,6,101,dump,62.3
2978.5,12,3,load,0.0
3016.4,6,101,return,0.0
3024.5,9,1,haul,65.7
3024.5,14,1,load,0.0
3060.7,20,101,dump,62.7
3108.1,18,4,haul,66.6
3111.0,4,101,dump,60.7
3111.0,20,101,return,0.0
3165.3,4,101,return,0.0
3179.8,1,2,load,0.0
3179.8,2,2,haul,65.3
3197.8,3,4,load,0.0
3290.7,11,101,dump,57.8
3351.9,11,101,return,0.0
3376.5,13,101,dump,58.9
3377.4,5,1,load,0.0
3377.4,14,1,haul,59.1
